county,state,votes16_Donald_Trump,votes16_Hillary_Clinton,total_votes16,total_votes20,votes20_Donald_Trump,votes20_Joe_Biden,cases,deaths,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Poverty,Income,IncomePerCap,IncomePerCapErr
Albany,NY,44227.0,74775.0,125644.0,121529.0,45570.0,73189.0,3750.0,140.0,308580.0,149287.0,159293.0,5.7,73.0,11.7,0.1,6.4,0.0,12.4,62293.0,35278.0,565.0
Albany,WY,7601.0,6888.0,16420.0,18617.0,8579.0,9092.0,1562.0,4.0,37944.0,19883.0,18061.0,9.3,82.9,1.3,0.7,2.9,0.0,23.0,45816.0,26034.0,1146.0
Albemarle,VA,19232.0,33297.0,56134.0,64284.0,20804.0,42466.0,1612.0,24.0,105105.0,50283.0,54822.0,5.7,77.2,9.5,0.2,5.0,0.0,9.8,72265.0,39273.0,1293.0
Alcona,MI,4201.0,1732.0,6179.0,7063.0,4848.0,2142.0,55.0,3.0,10413.0,5247.0,5166.0,1.4,96.0,0.3,0.5,0.4,0.0,14.9,39424.0,24463.0,1059.0
Alcorn,MS,11817.0,2684.0,14781.0,15639.0,12689.0,2741.0,1130.0,12.0,37242.0,18345.0,18897.0,3.0,83.2,11.7,0.0,0.3,0.0,19.6,38919.0,20527.0,1028.0
Alexander,IL,1496.0,1262.0,2820.0,5631.0,3056.0,2522.0,154.0,2.0,6776.0,3258.0,3518.0,1.0,61.8,34.6,0.6,0.2,0.0,33.4,31014.0,18564.0,1678.0
Alexander,NC,13826.0,3750.0,18011.0,20120.0,15806.0,4113.0,975.0,10.0,37159.0,18797.0,18362.0,4.6,87.0,5.9,0.2,1.2,0.1,14.7,44523.0,22655.0,1043.0
Alfalfa,OK,1931.0,216.0,2256.0,2262.0,1978.0,232.0,132.0,0.0,5877.0,3502.0,2375.0,5.0,76.2,2.4,1.9,0.0,0.0,11.2,57432.0,28007.0,3779.0
Alger,MI,2585.0,1663.0,4513.0,5135.0,3014.0,2053.0,121.0,1.0,9254.0,5088.0,4166.0,1.4,84.2,7.2,3.3,0.1,0.0,13.0,42647.0,21771.0,1475.0
Allamakee,IA,4072.0,2409.0,6837.0,7459.0,4733.0,2575.0,431.0,9.0,13940.0,7098.0,6842.0,6.1,91.2,0.9,0.1,0.3,0.0,11.4,47895.0,27377.0,1746.0
Allegan,MI,33812.0,17932.0,55153.0,67182.0,41381.0,24447.0,1503.0,7.0,114145.0,56997.0,57148.0,7.2,88.7,1.3,0.5,0.6,0.0,10.8,58487.0,27172.0,539.0
Allegany,MD,20025.0,6665.0,27804.0,29130.0,20213.0,8464.0,775.0,24.0,72591.0,37892.0,34699.0,1.7,87.3,8.0,0.2,0.8,0.0,16.8,42771.0,22355.0,683.0
Allegany,NY,11712.0,4473.0,17111.0,17271.0,12670.0,4188.0,348.0,8.0,47400.0,24013.0,23387.0,1.5,94.5,1.4,0.3,1.2,0.0,16.5,45359.0,22377.0,581.0
Alleghany,NC,3789.0,1300.0,5214.0,6040.0,4501.0,1480.0,316.0,1.0,10935.0,5445.0,5490.0,9.4,87.3,2.4,0.1,0.2,0.0,21.0,38944.0,21153.0,1201.0
Alleghany,VA,4873.0,2165.0,7306.0,8191.0,5859.0,2243.0,154.0,4.0,15489.0,7586.0,7903.0,1.4,91.9,5.5,0.0,0.1,0.1,19.3,46020.0,25952.0,1320.0
Allegheny,PA,257488.0,363017.0,643173.0,707837.0,275955.0,421004.0,15940.0,419.0,1229605.0,593177.0,636428.0,2.0,79.1,12.7,0.1,3.5,0.0,12.5,56333.0,35280.0,259.0
Allen,IN,83801.0,55222.0,145787.0,168964.0,91885.0,72825.0,9638.0,237.0,367747.0,179414.0,188333.0,7.2,74.6,11.3,0.2,3.5,0.0,14.7,51091.0,26932.0,523.0
Allen,KS,3575.0,1398.0,5314.0,5842.0,4155.0,1559.0,112.0,1.0,12752.0,6318.0,6434.0,3.3,90.7,1.5,0.1,0.6,0.1,14.2,43031.0,23011.0,1282.0
Allen,KY,6466.0,1349.0,8091.0,9363.0,7586.0,1642.0,566.0,11.0,20628.0,10227.0,10401.0,1.9,95.4,1.9,0.0,0.2,0.0,20.0,40598.0,21652.0,1505.0
