cases,deaths,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Unemployment
667.0,10.0,17577.0,8980.0,8597.0,55.4,41.1,1.5,0.1,0.2,0.1,4.5
2317.0,93.0,87700.0,42707.0,44993.0,21.5,61.2,14.7,0.1,1.1,0.0,7.6
12256.0,281.0,564600.0,279581.0,285019.0,7.3,69.6,15.9,0.1,3.6,0.1,5.2
9947.0,159.0,344861.0,172482.0,172379.0,4.2,82.7,5.5,0.5,4.2,0.0,4.2
737.0,11.0,25531.0,13361.0,12170.0,3.8,44.9,48.6,0.3,1.2,0.0,13.4
182.0,1.0,6406.0,3213.0,3193.0,3.2,95.3,0.2,0.3,0.4,0.0,1.9
143.0,0.0,23133.0,11479.0,11654.0,2.1,95.0,0.3,0.8,0.3,0.0,6.1
4003.0,171.0,71602.0,35355.0,36247.0,6.1,18.5,0.5,72.8,0.3,0.1,14.1
287.0,3.0,12547.0,6206.0,6341.0,1.8,95.7,0.6,0.1,0.5,0.0,6.3
1179.0,38.0,18471.0,9090.0,9381.0,9.7,69.6,17.9,0.6,0.8,0.0,7.7
308.0,6.0,15462.0,7507.0,7955.0,1.3,76.7,20.1,0.1,0.2,0.0,3.5
351.0,18.0,24832.0,12448.0,12384.0,27.0,67.7,1.6,0.0,2.0,0.0,6.7
13956.0,387.0,626612.0,309190.0,317422.0,18.9,61.3,10.2,0.3,5.6,0.2,5.2
165.0,1.0,8793.0,4335.0,4458.0,8.3,88.6,0.8,0.3,0.4,0.0,3.0
68.0,0.0,12592.0,6400.0,6192.0,18.3,76.7,1.1,2.1,0.7,0.0,5.4
111.0,3.0,15238.0,7714.0,7524.0,2.0,94.9,0.5,1.3,0.4,0.0,9.6
726.0,17.0,18352.0,8785.0,9567.0,3.0,70.2,26.0,0.0,0.0,0.0,8.5
4764.0,154.0,229534.0,114403.0,115131.0,15.5,62.3,8.5,0.3,10.2,0.1,3.2
786.0,21.0,66737.0,33176.0,33561.0,0.7,97.3,1.0,0.0,0.2,0.0,6.9
27.0,1.0,1929.0,974.0,955.0,10.0,86.6,1.2,1.3,0.0,0.0,1.8
5.0,0.0,421.0,204.0,217.0,0.0,97.6,0.0,0.0,0.0,0.0,0.6
4299.0,100.0,119129.0,58718.0,60411.0,5.3,69.4,21.8,0.0,0.9,0.0,6.3
481.0,3.0,26833.0,13213.0,13620.0,5.2,92.5,0.8,0.4,0.4,0.0,6.3
511.0,9.0,53299.0,26005.0,27294.0,1.3,96.0,0.8,0.0,0.6,0.0,4.2
301.0,3.0,15779.0,7954.0,7825.0,2.6,82.7,0.4,10.6,0.4,0.0,7.2
573.0,11.0,20771.0,10126.0,10645.0,5.2,68.0,25.6,0.2,0.0,0.0,9.9
890.0,48.0,98622.0,49509.0,49113.0,4.0,89.9,3.4,0.2,0.5,0.0,7.4
294.0,8.0,22259.0,10594.0,11665.0,3.6,91.2,0.4,0.9,0.9,0.1,6.7
813.0,24.0,22881.0,11085.0,11796.0,2.8,65.8,29.7,0.6,0.3,0.0,6.9
1287.0,37.0,48139.0,24051.0,24088.0,63.5,34.2,0.7,0.1,0.4,0.0,6.1
537.0,6.0,16466.0,7957.0,8509.0,2.9,88.4,3.1,0.4,0.3,0.1,6.3
86.0,1.0,5335.0,2642.0,2693.0,1.2,96.6,0.4,0.4,0.6,0.0,4.1
