county,state,Men,Women
Benton,OR,44598.0,43651.0
Benton,TN,7794.0,8360.0
Benton,WA,95438.0,95091.0
Benzie,MI,8694.0,8768.0
Bergen,NJ,454204.0,483716.0
Berkeley,SC,101773.0,102859.0
Berkeley,WV,54961.0,56649.0
Berks,PA,204283.0,211217.0
Bernalillo,NM,330743.0,344112.0
Berrien,GA,9297.0,9717.0
Berrien,MI,75835.0,79113.0
Bertie,NC,10057.0,9856.0
Bexar,TX,932577.0,959427.0
Bibb,AL,12251.0,10329.0
Bibb,GA,72312.0,81611.0
Bienville,LA,6692.0,7114.0
Big Horn,MT,6566.0,6724.0
Big Horn,WY,6015.0,5905.0
Big Stone,MN,2489.0,2550.0
Billings,ND,566.0,417.0
Bingham,ID,22732.0,22637.0
Black Hawk,IA,65251.0,67709.0
Blackford,IN,6047.0,6167.0
Bladen,NC,16241.0,17889.0
Blaine,ID,11040.0,10543.0
Blaine,MT,3316.0,3330.0
Blaine,NE,256.0,246.0
Blaine,OK,5070.0,4610.0
Blair,PA,61106.0,63630.0
Blanco,TX,5576.0,5513.0
Bland,VA,3617.0,2907.0
Bleckley,GA,5909.0,6870.0
Bledsoe,TN,8385.0,6028.0
Blount,AL,28490.0,29177.0
Blount,TN,61640.0,65495.0
Blue Earth,MN,33054.0,32713.0
Boise,ID,3678.0,3290.0
Bolivar,MS,15613.0,17508.0
Bollinger,MO,6180.0,6167.0
Bon Homme,SD,4057.0,2915.0
Bond,IL,8767.0,8267.0
Bonner,ID,20980.0,20875.0
Bonneville,ID,55082.0,55322.0
Boone,AR,18198.0,19014.0
Boone,IA,13280.0,13101.0
Boone,IL,26755.0,26883.0
Boone,IN,31211.0,31802.0
Boone,KY,63122.0,64560.0
Boone,MO,84812.0,89777.0
Boone,NE,2691.0,2666.0
Boone,WV,11530.0,11706.0
Borden,TX,309.0,293.0
Bosque,TX,8831.0,9124.0
Bossier,LA,62214.0,63484.0
Botetourt,VA,16421.0,16728.0
Bottineau,ND,3478.0,3173.0
Boulder,CO,159112.0,157670.0
Boundary,ID,5655.0,5668.0
Bourbon,KS,7315.0,7442.0
Bourbon,KY,9706.0,10311.0
Bowie,TX,47173.0,46462.0
Bowman,ND,1544.0,1682.0
Box Butte,NE,5671.0,5529.0
Box Elder,UT,26423.0,25759.0
Boyd,KY,24180.0,24306.0
Boyd,NE,1038.0,1011.0
Boyle,KY,14883.0,14890.0
Bracken,KY,4186.0,4144.0
Bradford,FL,14754.0,12021.0
Bradford,PA,30348.0,31198.0
Bradley,AR,5262.0,5732.0
Bradley,TN,50468.0,53198.0
Branch,MI,22517.0,21026.0
Brantley,GA,9070.0,9341.0
Braxton,WV,7172.0,7173.0
Brazoria,TX,175156.0,170839.0
Brazos,TX,108478.0,105753.0
Breathitt,KY,6675.0,6601.0
Breckinridge,KY,10028.0,9963.0
Bremer,IA,12195.0,12546.0
Brevard,FL,277666.0,290517.0
Brewster,TX,4464.0,4756.0
Briscoe,TX,796.0,795.0
Bristol,RI,23625.0,25403.0
Broadwater,MT,2896.0,2859.0
Bronx,NY,685636.0,770210.0
Brooke,WV,11287.0,11780.0
Brookings,SD,17153.0,16544.0
Brooks,GA,7531.0,8098.0
Brooks,TX,3750.0,3501.0
Broome,NY,96409.0,99715.0
Broomfield,CO,31920.0,32363.0
Broward,FL,920265.0,970151.0
Brown,IL,4360.0,2431.0
Brown,IN,7439.0,7568.0
Brown,KS,4680.0,5056.0
