county,state,Men,Women
Doniphan,KS,3952.0,3838.0
Donley,TX,1714.0,1719.0
Dooly,GA,7631.0,6422.0
Door,WI,13602.0,13841.0
Dorchester,MD,15476.0,16910.0
Dorchester,SC,73919.0,77797.0
Dougherty,GA,42377.0,49145.0
Douglas,CO,159804.0,161136.0
Douglas,GA,66926.0,73226.0
Douglas,IL,9780.0,10050.0
Douglas,KS,58348.0,59458.0
Douglas,MN,18510.0,18381.0
Douglas,MO,6704.0,6687.0
Douglas,NE,270917.0,278789.0
Douglas,NV,24047.0,23585.0
Douglas,OR,53134.0,54442.0
Douglas,SD,1448.0,1492.0
Douglas,WA,20382.0,20203.0
Douglas,WI,21734.0,21769.0
Drew,AR,9090.0,9530.0
DuPage,IL,457327.0,474499.0
Dubois,IN,21223.0,21156.0
Dubuque,IA,47757.0,48814.0
Duchesne,UT,10320.0,9939.0
Dundy,NE,1004.0,1013.0
Dunklin,MO,14856.0,16049.0
Dunn,ND,2306.0,2043.0
Dunn,WI,22296.0,21964.0
Duplin,NC,29020.0,30330.0
Durham,NC,143946.0,156919.0
Dutchess,NY,146993.0,148692.0
Duval,FL,442115.0,469928.0
Duval,TX,5891.0,5543.0
Dyer,TN,18201.0,19550.0
Eagle,CO,28560.0,25166.0
Early,GA,4817.0,5588.0
East Baton Rouge,LA,214073.0,232094.0
East Carroll,LA,4409.0,2909.0
East Feliciana,LA,10667.0,8886.0
Eastland,TX,9337.0,8941.0
Eaton,MI,53065.0,55521.0
Eau Claire,WI,50371.0,52017.0
Echols,GA,2012.0,1999.0
Ector,TX,78798.0,76946.0
Eddy,ND,1146.0,1175.0
Eddy,NM,28792.0,28001.0
Edgar,IL,8643.0,8960.0
Edgecombe,NC,25088.0,28944.0
Edgefield,SC,14332.0,12288.0
Edmonson,KY,6049.0,6014.0
Edmunds,SD,2008.0,1963.0
Edwards,IL,3218.0,3352.0
Edwards,KS,1520.0,1426.0
Edwards,TX,965.0,1146.0
Effingham,GA,28260.0,28827.0
Effingham,IL,17021.0,17143.0
El Dorado,CA,92304.0,92711.0
El Paso,CO,340118.0,334708.0
El Paso,TX,409199.0,425626.0
Elbert,CO,12442.0,12111.0
Elbert,GA,9218.0,10070.0
Elk,KS,1271.0,1310.0
Elk,PA,15435.0,15346.0
Elkhart,IN,100359.0,102565.0
Elko,NV,27185.0,25192.0
Elliott,KY,4302.0,3231.0
Ellis,KS,14469.0,14408.0
Ellis,OK,1983.0,2119.0
Ellis,TX,80837.0,83255.0
Ellsworth,KS,3576.0,2755.0
Elmore,AL,39357.0,41632.0
Elmore,ID,13651.0,12581.0
Emanuel,GA,11183.0,11319.0
Emery,UT,5306.0,5104.0
Emmet,IA,4792.0,4869.0
Emmet,MI,16359.0,16619.0
Emmons,ND,1693.0,1696.0
Erath,TX,20118.0,20898.0
Erie,NY,447024.0,476971.0
Erie,OH,36972.0,38397.0
Erie,PA,137134.0,140660.0
Escambia,AL,19326.0,18295.0
Escambia,FL,153834.0,156090.0
Esmeralda,NV,485.0,617.0
Essex,MA,373886.0,401974.0
Essex,NJ,384515.0,415886.0
Essex,NY,19936.0,18297.0
Essex,VA,4899.0,6184.0
Essex,VT,3135.0,3068.0
Estill,KY,7081.0,7301.0
Etowah,AL,49738.0,53394.0
Eureka,NV,849.0,879.0
Evangeline,LA,17232.0,16518.0
Evans,GA,5093.0,5664.0
Fairfax,VA,565593.0,576411.0
Fairfield,CT,461380.0,485948.0
Fairfield,OH,75440.0,76086.0
Fairfield,SC,10782.0,12086.0
Fall River,SD,3424.0,3359.0
Fallon,MT,1526.0,1399.0
Falls,TX,8135.0,9154.0
Fannin,GA,11852.0,12628.0
Fannin,TX,17846.0,15941.0
Faribault,MN,6975.0,6991.0
Faulk,SD,1196.0,1131.0
Faulkner,AR,59387.0,61895.0
Fauquier,VA,33858.0,34548.0
Fayette,AL,8191.0,8466.0
Fayette,GA,53551.0,56755.0
Fayette,IA,10162.0,9977.0
Fayette,IL,11751.0,10229.0
Fayette,IN,11562.0,11864.0
Fayette,KY,154530.0,160579.0
Fayette,OH,14027.0,14632.0
Fayette,PA,65640.0,67520.0
Fayette,TN,19329.0,20007.0
Fayette,TX,12188.0,12775.0
Fayette,WV,22404.0,22198.0
Fentress,TN,8846.0,9094.0
Fergus,MT,5701.0,5626.0
Ferry,WA,3911.0,3657.0
Fillmore,MN,10448.0,10377.0
Fillmore,NE,2800.0,2803.0
Finney,KS,18913.0,18184.0
Fisher,TX,1867.0,2008.0
Flagler,FL,50436.0,54579.0
Flathead,MT,47965.0,48182.0
Fleming,KY,7155.0,7360.0
Florence,SC,64593.0,73944.0
Florence,WI,2260.0,2094.0
Floyd,GA,46770.0,49701.0
Floyd,IA,7830.0,8074.0
Floyd,IN,37092.0,39389.0
Floyd,KY,18314.0,19133.0
Floyd,TX,2911.0,3042.0
Floyd,VA,7842.0,7752.0
Fluvanna,VA,11928.0,14181.0
Foard,TX,749.0,665.0
Fond du Lac,WI,49962.0,52120.0
Ford,IL,6647.0,6823.0
Ford,KS,17933.0,16725.0
Forest,PA,5972.0,1416.0
Forest,WI,4574.0,4461.0
Forrest,MS,36106.0,39729.0
Forsyth,GA,104886.0,106414.0
Forsyth,NC,174966.0,193396.0
Fort Bend,TX,349697.0,361724.0
Foster,ND,1645.0,1673.0
Fountain,IN,8272.0,8348.0
Franklin,AL,15818.0,15689.0
Franklin,AR,8674.0,9129.0
Franklin,FL,6727.0,4948.0
Franklin,GA,10852.0,11476.0
Franklin,IA,5235.0,5091.0
Franklin,ID,6686.0,6434.0
Franklin,IL,19302.0,20000.0
Franklin,IN,11415.0,11420.0
Franklin,KS,12505.0,13094.0
Franklin,KY,24502.0,25467.0
Franklin,MA,34663.0,36263.0
Franklin,ME,14739.0,15438.0
Franklin,MO,51044.0,51369.0
Franklin,MS,3752.0,4020.0
Franklin,NC,31817.0,32049.0
Franklin,NE,1514.0,1505.0
Franklin,NY,27928.0,23126.0
Franklin,OH,611086.0,642421.0
Franklin,PA,75535.0,77468.0
Franklin,TN,20224.0,21173.0
Franklin,TX,5409.0,5230.0
Franklin,VA,27631.0,28646.0
Franklin,VT,24251.0,24565.0
Franklin,WA,46383.0,42741.0
Franklin,LA,9991.0,10397.0
Frederick,MD,121305.0,124800.0
Frederick,VA,41634.0,42150.0
Freeborn,MN,15312.0,15307.0
Freestone,TX,10224.0,9422.0
Fremont,CO,27073.0,19528.0
Fremont,IA,3453.0,3532.0
Fremont,ID,6685.0,6204.0
Fremont,WY,20206.0,20148.0
Fresno,CA,484667.0,486949.0
Frio,TX,11363.0,7747.0
Frontier,NE,1324.0,1300.0
Fulton,AR,5947.0,6145.0
Fulton,GA,489797.0,520623.0
Fulton,IL,18673.0,17060.0
Fulton,IN,9992.0,10304.0
Fulton,KY,3094.0,3165.0
Fulton,NY,26899.0,27056.0
Fulton,OH,20912.0,21384.0
Fulton,PA,7376.0,7255.0
Furnas,NE,2356.0,2458.0
Gadsden,FL,21869.0,24244.0
Gage,NE,10816.0,10816.0
Gaines,TX,10082.0,9807.0
Gallatin,IL,2475.0,2751.0
Gallatin,KY,4420.0,4232.0
Gallatin,MT,52057.0,48676.0
Gallia,OH,14814.0,15389.0
Galveston,TX,158564.0,162620.0
Garden,NE,960.0,953.0
Garfield,CO,29334.0,28611.0
Garfield,MT,560.0,526.0
Garfield,NE,970.0,988.0
Garfield,OK,30927.0,31494.0
Garfield,UT,2633.0,2387.0
Garfield,WA,1118.0,1108.0
Garland,AR,47269.0,50725.0
Garrard,KY,8442.0,8784.0
Garrett,MD,14618.0,14898.0
Garvin,OK,13765.0,13986.0
Garza,TX,4369.0,2370.0
Gasconade,MO,7371.0,7398.0
Gaston,NC,103191.0,110858.0
Gates,NC,5662.0,5939.0
Geary,KS,19025.0,16771.0
Geauga,OH,46220.0,47675.0
Gem,ID,8331.0,8519.0
Genesee,MI,198115.0,212766.0
Genesee,NY,29199.0,29338.0
Geneva,AL,13008.0,13564.0
Gentry,MO,3225.0,3463.0
George,MS,11894.0,11651.0
Georgetown,SC,28957.0,32108.0
Gibson,IN,16841.0,16755.0
Gibson,TN,23447.0,25775.0
Gila,AZ,26284.0,26861.0
Gilchrist,FL,8983.0,8208.0
Giles,TN,14119.0,14905.0
Giles,VA,8273.0,8594.0
Gillespie,TX,12655.0,13284.0
Gilliam,OR,962.0,948.0
Gilmer,GA,14950.0,14664.0
Gilmer,WV,4912.0,3393.0
Gilpin,CO,3108.0,2685.0
Glacier,MT,6888.0,6789.0
Glades,FL,7479.0,5718.0
Gladwin,MI,12719.0,12605.0
Glascock,GA,1464.0,1563.0
Glasscock,TX,792.0,628.0
Glenn,CA,14213.0,13722.0
Gloucester,NJ,141589.0,149783.0
Gloucester,VA,18278.0,18757.0
Glynn,GA,39362.0,44105.0
Gogebic,MI,8445.0,7132.0
Golden Valley,MT,373.0,374.0
Golden Valley,ND,930.0,962.0
Goliad,TX,3778.0,3732.0
Gonzales,TX,10400.0,10158.0
Goochland,VA,10897.0,11251.0
Goodhue,MN,23014.0,23124.0
Gooding,ID,7737.0,7373.0
Gordon,GA,27913.0,28511.0
Goshen,WY,6967.0,6512.0
Gosper,NE,988.0,1031.0
Gove,KS,1330.0,1302.0
Grady,GA,12247.0,12801.0
Grady,OK,27146.0,27205.0
Grafton,NH,43952.0,45328.0
Graham,AZ,20233.0,17467.0
Graham,KS,1270.0,1291.0
Graham,NC,4212.0,4395.0
Grainger,TN,11383.0,11559.0
Grand,CO,7997.0,6796.0
Grand,UT,4823.0,4721.0
Grand Forks,ND,36438.0,33692.0
Grand Isle,VT,3432.0,3518.0
Grand Traverse,MI,44860.0,46362.0
Granite,MT,1622.0,1584.0
Grant,AR,8829.0,9247.0
Grant,IN,32360.0,35255.0
Grant,KS,4066.0,3650.0
Grant,KY,12266.0,12534.0
Grant,MN,2972.0,2951.0
Grant,ND,1188.0,1199.0
Grant,NE,346.0,336.0
Grant,NM,13940.0,14442.0
Grant,OK,2265.0,2193.0
Grant,OR,3647.0,3562.0
Grant,SD,3652.0,3481.0
Grant,WA,47166.0,46254.0
Grant,WI,26915.0,24827.0
Grant,WV,5844.0,5829.0
Grant,LA,12669.0,9636.0
Granville,NC,29686.0,28817.0
Gratiot,MI,21937.0,19382.0
Graves,KY,18276.0,18983.0
Gray,KS,3004.0,3000.0
Gray,TX,12143.0,10819.0
Grays Harbor,WA,36786.0,34668.0
Grayson,KY,13079.0,13050.0
Grayson,TX,61556.0,64590.0
Grayson,VA,7875.0,7833.0
Greeley,KS,584.0,626.0
Greeley,NE,1203.0,1233.0
Green,KY,5356.0,5688.0
Green,WI,18265.0,18604.0
Green Lake,WI,9405.0,9340.0
Greenbrier,WV,17349.0,18174.0
Greene,AL,4058.0,4475.0
Greene,AR,21806.0,22391.0
Greene,GA,8142.0,8590.0
Greene,IA,4409.0,4637.0
Greene,IL,6682.0,6629.0
Greene,IN,16040.0,16391.0
Greene,MO,139733.0,147026.0
Greene,MS,8077.0,5724.0
Greene,NC,11380.0,9679.0
Greene,NY,24875.0,22916.0
Greene,OH,81014.0,83811.0
Greene,PA,19397.0,17941.0
Greene,TN,33482.0,35038.0
Greene,VA,9387.0,9826.0
Greenlee,AZ,4997.0,4371.0
Greensville,VA,7238.0,4368.0
Greenup,KY,17533.0,18479.0
Greenville,SC,238009.0,252323.0
Greenwood,KS,3121.0,3106.0
Greenwood,SC,32489.0,37492.0
Greer,OK,3463.0,2555.0
Gregg,TX,60366.0,63036.0
Gregory,SD,2156.0,2053.0
Grenada,MS,10097.0,11282.0
Griggs,ND,1153.0,1123.0
Grimes,TX,15070.0,12288.0
Grundy,IA,6117.0,6237.0
Grundy,IL,25154.0,25179.0
Grundy,MO,4937.0,5174.0
Grundy,TN,6575.0,6784.0
Guadalupe,NM,2645.0,1781.0
Guadalupe,TX,74611.0,76278.0
Guernsey,OH,19544.0,19870.0
Guilford,NC,245216.0,271981.0
Gulf,FL,9595.0,6423.0
Gunnison,CO,8795.0,7420.0
Guthrie,IA,5321.0,5343.0
Gwinnett,GA,435401.0,454553.0
Haakon,SD,1047.0,1037.0
Habersham,GA,20824.0,23054.0
Hale,AL,7049.0,7946.0
Hale,TX,17906.0,16621.0
Halifax,NC,25152.0,27148.0
Halifax,VA,16505.0,18525.0
Hall,GA,96103.0,96762.0
Hall,NE,30843.0,30390.0
Hall,TX,1552.0,1550.0
Hamblen,TN,31109.0,32356.0
Hamilton,FL,8228.0,6010.0
Hamilton,IA,7433.0,7768.0
Hamilton,IL,4045.0,4214.0
Hamilton,IN,151395.0,158292.0
Hamilton,KS,1381.0,1240.0
Hamilton,NE,4566.0,4583.0
Hamilton,NY,2387.0,2259.0
Hamilton,OH,389496.0,419207.0
Hamilton,TN,170993.0,183596.0
Hamilton,TX,4062.0,4158.0
Hamlin,SD,3024.0,2887.0
Hampden,MA,226391.0,242797.0
Hampshire,WV,12081.0,11331.0
Hampton,SC,10350.0,9716.0
Hancock,GA,5258.0,3409.0
Hancock,IA,5519.0,5452.0
Hancock,IL,9083.0,9181.0
Hancock,IN,35716.0,37060.0
Hancock,KY,4494.0,4206.0
Hancock,ME,26394.0,28074.0
Hancock,MS,22527.0,23750.0
Hancock,OH,37209.0,38299.0
Hancock,TN,3273.0,3332.0
Hancock,WV,14495.0,15426.0
Hand,SD,1673.0,1630.0
Hanover,VA,50653.0,52565.0
Hansford,TX,2760.0,2772.0
Hanson,SD,1714.0,1690.0
Haralson,GA,13965.0,14757.0
Hardee,FL,14716.0,12610.0
Hardeman,TN,14076.0,11708.0
Hardeman,TX,1950.0,2040.0
Hardin,IA,8634.0,8605.0
Hardin,IL,2171.0,1990.0
Hardin,KY,53731.0,53968.0
Hardin,OH,15620.0,15956.0
Hardin,TN,12669.0,13144.0
Hardin,TX,27365.0,28628.0
Harding,NM,291.0,255.0
Harding,SD,684.0,597.0
Hardy,WV,6846.0,6966.0
Harford,MD,122344.0,127788.0
Harlan,KY,13323.0,14225.0
Harlan,NE,1811.0,1658.0
Harmon,OK,1344.0,1414.0
Harnett,NC,63747.0,65006.0
Harney,OR,3633.0,3562.0
Harper,KS,2928.0,2818.0
Harper,OK,1948.0,1895.0
Harris,GA,16686.0,16512.0
Harris,TX,2251060.0,2274459.0
Harrison,IA,7016.0,7180.0
Harrison,IN,19790.0,19660.0
Harrison,KY,9162.0,9468.0
Harrison,MO,4280.0,4335.0
Harrison,MS,98928.0,101563.0
Harrison,OH,7606.0,7791.0
Harrison,TX,32517.0,34089.0
Harrison,WV,33365.0,35073.0
Hart,GA,12502.0,13033.0
Hart,KY,9138.0,9393.0
Hartford,CT,435729.0,461688.0
Hartley,TX,3524.0,2297.0
Harvey,KS,17016.0,17667.0
Haskell,KS,2015.0,2066.0
Haskell,OK,6323.0,6423.0
Haskell,TX,3247.0,2559.0
Hawaii,HI,97677.0,98648.0
Hawkins,TN,27525.0,28877.0
Hayes,NE,494.0,463.0
Hays,TX,96973.0,97870.0
Haywood,NC,29008.0,30846.0
Haywood,TN,8404.0,9540.0
Heard,GA,5762.0,5845.0
Hemphill,TX,1976.0,2176.0
Hempstead,AR,10380.0,11774.0
Henderson,IL,3404.0,3523.0
Henderson,KY,22409.0,23843.0
Henderson,NC,54226.0,57930.0
Henderson,TN,13446.0,14443.0
Henderson,TX,38840.0,40847.0
Hendricks,IN,78924.0,79246.0
Hendry,FL,20716.0,18348.0
Hennepin,MN,604629.0,620134.0
Henrico,VA,153299.0,170774.0
Henry,AL,8208.0,8902.0
Henry,GA,104175.0,113331.0
Henry,IA,10099.0,9766.0
Henry,IL,24610.0,25039.0
Henry,IN,25252.0,23397.0
Henry,KY,7715.0,7962.0
Henry,MO,10783.0,11051.0
Henry,OH,13558.0,13905.0
Henry,TN,15627.0,16636.0
Henry,VA,25038.0,26918.0
Herkimer,NY,31103.0,31840.0
Hernando,FL,85782.0,93362.0
Hertford,NC,12026.0,12236.0
Hettinger,ND,1242.0,1359.0
Hickman,KY,2156.0,2469.0
Hickman,TN,12830.0,11672.0
Hickory,MO,4547.0,4805.0
Hidalgo,NM,2179.0,2267.0
Hidalgo,TX,410383.0,429156.0
Highland,OH,21262.0,21769.0
Highland,VA,1020.0,1193.0
Highlands,FL,48518.0,51659.0
Hill,MT,8332.0,8136.0
Hill,TX,17374.0,17724.0
Hillsborough,FL,658639.0,692448.0
Hillsborough,NH,201775.0,204596.0
Hillsdale,MI,22902.0,23007.0
Hinds,MS,113633.0,129616.0
Hinsdale,CO,384.0,436.0
Hitchcock,NE,1423.0,1437.0
Hocking,OH,14122.0,14425.0
Hockley,TX,11505.0,11768.0
Hodgeman,KS,935.0,940.0
Hoke,NC,25993.0,26578.0
Holmes,FL,10449.0,9034.0
Holmes,MS,8707.0,9560.0
Holmes,OH,21874.0,21934.0
Holt,MO,2239.0,2260.0
Holt,NE,5157.0,5136.0
Honolulu,HI,498993.0,491067.0
Hood,TX,27199.0,28219.0
Hood River,OR,11512.0,11426.0
Hooker,NE,315.0,369.0
Hopkins,KY,22353.0,23632.0
Hopkins,TX,17643.0,18286.0
Horry,SC,150251.0,159935.0
Hot Spring,AR,17294.0,16186.0
Hot Springs,WY,2404.0,2337.0
Houghton,MI,19713.0,16620.0
Houston,AL,49905.0,54203.0
Houston,GA,73081.0,77260.0
Houston,MN,9371.0,9338.0
Houston,TN,4106.0,4082.0
Houston,TX,12274.0,10575.0
Howard,AR,6582.0,6890.0
Howard,IA,4677.0,4644.0
Howard,IN,39889.0,42568.0
Howard,MD,152843.0,159652.0
Howard,MO,5069.0,5075.0
Howard,NE,3212.0,3173.0
Howard,TX,20588.0,15903.0
Howell,MO,19656.0,20483.0
Hubbard,MN,10411.0,10332.0
Hudson,NJ,337345.0,342411.0
Hudspeth,TX,1841.0,1861.0
Huerfano,CO,3230.0,3268.0
Hughes,OK,7252.0,6267.0
Hughes,SD,8599.0,8973.0
Humboldt,CA,67508.0,67982.0
Humboldt,IA,4665.0,4921.0
Humboldt,NV,8879.0,8209.0
Humphreys,MS,4108.0,4570.0
Humphreys,TN,8985.0,9296.0
Hunt,TX,44432.0,45890.0
Hunterdon,NJ,62901.0,62816.0
Huntingdon,PA,24129.0,21557.0
Huntington,IN,17917.0,18603.0
Huron,MI,15777.0,15973.0
Huron,OH,28837.0,29660.0
Hutchinson,SD,3616.0,3661.0
Hutchinson,TX,10838.0,10866.0
Hyde,NC,2918.0,2589.0
Hyde,SD,686.0,687.0
Iberia,LA,35791.0,37555.0
Iberville,LA,16772.0,16350.0
Ida,IA,3478.0,3487.0
Idaho,ID,8509.0,7766.0
Imperial,CA,91963.0,87994.0
Independence,AR,18054.0,19043.0
Indian River,FL,71064.0,76917.0
Indiana,PA,43449.0,43102.0
Ingham,MI,139183.0,147002.0
Inyo,CA,9172.0,9023.0
Ionia,MI,34130.0,30017.0
Iosco,MI,12570.0,12747.0
Iowa,IA,8009.0,8222.0
Iowa,WI,11870.0,11706.0
Iredell,NC,83570.0,86228.0
Irion,TX,853.0,739.0
Iron,MI,5576.0,5715.0
Iron,MO,5114.0,5172.0
Iron,UT,24108.0,24396.0
Iron,WI,2923.0,2825.0
Iroquois,IL,13878.0,14579.0
Irwin,GA,4767.0,4511.0
Isabella,MI,34338.0,36234.0
Isanti,MN,19491.0,19093.0
Island,WA,40020.0,40303.0
Isle of Wight,VA,17651.0,18439.0
Issaquena,MS,761.0,535.0
Itasca,MN,22941.0,22296.0
Itawamba,MS,11651.0,11788.0
Izard,AR,6971.0,6550.0
Jack,TX,4973.0,3866.0
Jackson,AL,25712.0,26614.0
Jackson,AR,8575.0,8854.0
Jackson,CO,676.0,696.0
Jackson,FL,26887.0,21684.0
Jackson,GA,31539.0,32312.0
Jackson,IA,9639.0,9770.0
Jackson,IL,29460.0,29655.0
Jackson,IN,21861.0,21918.0
Jackson,KS,6641.0,6681.0
Jackson,KY,6657.0,6712.0
Jackson,MI,81200.0,77789.0
Jackson,MN,5097.0,5007.0
Jackson,MO,332936.0,355618.0
Jackson,MS,69696.0,71618.0
Jackson,NC,20395.0,21330.0
Jackson,OH,15953.0,16671.0
Jackson,OK,12735.0,12839.0
Jackson,OR,103422.0,108648.0
Jackson,SD,1659.0,1616.0
Jackson,TN,5827.0,5746.0
Jackson,TX,7214.0,7542.0
Jackson,WI,10952.0,9579.0
Jackson,WV,14440.0,14683.0
Jackson,LA,8086.0,7866.0
James City,VA,35265.0,37763.0
Jasper,GA,6688.0,7044.0
Jasper,IA,18797.0,17992.0
Jasper,IL,4776.0,4832.0
Jasper,IN,16568.0,16880.0
Jasper,MO,57694.0,60828.0
Jasper,MS,8008.0,8539.0
Jasper,SC,14058.0,13407.0
Jasper,TX,17420.0,18024.0
Jay,IN,10360.0,10747.0
Jeff Davis,GA,7403.0,7596.0
Jeff Davis,TX,1070.0,1166.0
Jefferson,AL,312333.0,347127.0
Jefferson,AR,35154.0,36219.0
Jefferson,CO,280635.0,283394.0
Jefferson,FL,7554.0,6531.0
Jefferson,GA,7691.0,8263.0
Jefferson,IA,9511.0,8434.0
Jefferson,ID,13911.0,13499.0
Jefferson,IL,19691.0,18667.0
Jefferson,IN,15417.0,16876.0
Jefferson,KS,9556.0,9300.0
Jefferson,KY,369391.0,394987.0
Jefferson,MO,110772.0,111867.0
Jefferson,MS,3671.0,3792.0
Jefferson,MT,5955.0,5670.0
Jefferson,NE,3511.0,3765.0
Jefferson,NY,61385.0,55182.0
Jefferson,OH,32579.0,34770.0
Jefferson,OK,3158.0,3112.0
Jefferson,OR,11605.0,11102.0
Jefferson,PA,21963.0,22295.0
Jefferson,TN,25886.0,27001.0
Jefferson,TX,130404.0,124170.0
Jefferson,WA,14981.0,15543.0
Jefferson,WI,42282.0,42304.0
Jefferson,WV,27488.0,28185.0
Jefferson Davis,MS,5671.0,5968.0
Jefferson Davis,LA,15431.0,15974.0
Jefferson,LA,212326.0,224712.0
Jenkins,GA,4273.0,4656.0
Jennings,IN,13983.0,13857.0
Jerauld,SD,955.0,1079.0
Jerome,ID,11619.0,11420.0
Jersey,IL,10855.0,11360.0
Jessamine,KY,25213.0,26454.0
Jewell,KS,1488.0,1475.0
Jim Hogg,TX,2623.0,2639.0
Jim Wells,TX,20134.0,21184.0
Jo Daviess,IL,11081.0,10965.0
Johnson,AR,12977.0,13178.0
Johnson,GA,5476.0,4324.0
Johnson,IA,71463.0,72962.0
Johnson,IL,7342.0,5557.0
Johnson,IN,73340.0,76019.0
Johnson,KS,283504.0,295293.0
Johnson,KY,11314.0,11750.0
Johnson,MO,27891.0,26050.0
Johnson,NE,3087.0,2113.0
Johnson,TN,9625.0,8221.0
Johnson,TX,79887.0,80286.0
Johnson,WY,4548.0,4014.0
Johnston,NC,91408.0,94900.0
Johnston,OK,5482.0,5557.0
Jones,GA,13864.0,14676.0
Jones,IA,10528.0,9940.0
Jones,MS,33332.0,34996.0
Jones,NC,4771.0,5005.0
Jones,SD,375.0,365.0
Jones,TX,12658.0,7311.0
Josephine,OR,41320.0,43194.0
Juab,UT,5491.0,5203.0
Judith Basin,MT,1047.0,918.0
Juneau,WI,14008.0,12419.0
Juniata,PA,12210.0,12238.0
Kalamazoo,MI,127247.0,132583.0
Kalkaska,MI,8874.0,8484.0
Kanabec,MN,8101.0,7847.0
Kanawha,WV,90415.0,97412.0
Kandiyohi,MN,21398.0,21179.0
Kane,IL,263392.0,266010.0
Kane,UT,3656.0,3590.0
Kankakee,IL,54425.0,56376.0
Karnes,TX,8960.0,6091.0
Kauai,HI,35337.0,35756.0
Kaufman,TX,56347.0,58505.0
Kay,OK,22375.0,22798.0
Kearney,NE,3229.0,3318.0
Kearny,KS,1918.0,2013.0
Keith,NE,4121.0,4008.0
Kemper,MS,4970.0,5112.0
Kendall,IL,60801.0,62132.0
Kendall,TX,19568.0,20738.0
Kenedy,TX,280.0,284.0
Kenosha,WI,83033.0,84853.0
Kent,DE,83544.0,89601.0
Kent,MD,9426.0,10240.0
Kent,MI,313134.0,323242.0
Kent,TX,311.0,369.0
Kenton,KY,81047.0,82940.0
Keokuk,IA,5196.0,5027.0
Kern,CA,450393.0,428351.0
Kerr,TX,24563.0,26198.0
Kershaw,SC,30877.0,32857.0
Kewaunee,WI,10331.0,10047.0
Keweenaw,MI,1099.0,1037.0
Keya Paha,NE,368.0,352.0
Kidder,ND,1316.0,1141.0
Kimball,NE,1840.0,1848.0
Kimble,TX,2140.0,2292.0
King,TX,150.0,139.0
King,WA,1058695.0,1059424.0
King George,VA,12839.0,12725.0
King William,VA,8108.0,8221.0
King and Queen,VA,3524.0,3528.0
Kingfisher,OK,7669.0,7841.0
Kingman,KS,3835.0,3741.0
Kings,CA,82982.0,67201.0
Kings,NY,1247773.0,1387348.0
Kingsbury,SD,2527.0,2473.0
Kinney,TX,2234.0,1397.0
Kiowa,CO,687.0,681.0
Kiowa,KS,1230.0,1294.0
Kiowa,OK,4493.0,4634.0
Kit Carson,CO,4392.0,3454.0
Kitsap,WA,132104.0,126799.0
Kittitas,WA,22039.0,21687.0
Kittson,MN,2226.0,2158.0
Klamath,OR,32995.0,33023.0
Kleberg,TX,16290.0,15250.0
Klickitat,WA,10572.0,10600.0
Knott,KY,7806.0,7884.0
Knox,IL,26079.0,25295.0
Knox,IN,19265.0,18498.0
Knox,KY,15233.0,16191.0
Knox,ME,19601.0,20099.0
Knox,MO,2010.0,1966.0
Knox,NE,4147.0,4349.0
Knox,OH,29830.0,31115.0
Knox,TN,219839.0,232447.0
Knox,TX,1879.0,1874.0
Koochiching,MN,6384.0,6392.0
Kootenai,ID,74161.0,75967.0
Kosciusko,IN,39206.0,39514.0
Kossuth,IA,7598.0,7568.0
La Crosse,WI,57373.0,60209.0
La Paz,AZ,10530.0,9947.0
La Plata,CO,27424.0,27045.0
La Salle,TX,4347.0,3071.0
LaGrange,IN,19659.0,19061.0
LaMoure,ND,2129.0,1977.0
LaPorte,IN,57212.0,53627.0
LaSalle,IL,55819.0,55332.0
Labette,KS,10142.0,10411.0
Lac qui Parle,MN,3411.0,3429.0
Lackawanna,PA,102652.0,109308.0
Laclede,MO,17562.0,17926.0
Lafayette,AR,3460.0,3591.0
Lafayette,FL,5104.0,3580.0
Lafayette,MO,16121.0,16534.0
Lafayette,MS,25611.0,27133.0
Lafayette,WI,8485.0,8270.0
Lafayette,LA,116361.0,121869.0
Lafourche,LA,48235.0,49877.0
Lake,CA,31788.0,32307.0
Lake,CO,4079.0,3402.0
Lake,FL,157897.0,168318.0
Lake,IL,351847.0,352629.0
Lake,IN,236337.0,252357.0
Lake,MI,5965.0,5704.0
Lake,MN,5426.0,5152.0
Lake,MT,14595.0,14923.0
Lake,OH,112214.0,117487.0
Lake,OR,4165.0,3642.0
Lake,SD,6387.0,5963.0
Lake,TN,4761.0,2827.0
Lake of the Woods,MN,2016.0,1825.0
Lamar,AL,6875.0,7146.0
Lamar,GA,8800.0,9482.0
Lamar,MS,29006.0,31511.0
Lamar,TX,23876.0,25525.0
Lamb,TX,6832.0,6536.0
Lampasas,TX,10144.0,10329.0
Lancaster,NE,153788.0,152569.0
Lancaster,PA,262686.0,273808.0
Lancaster,SC,42328.0,44216.0
Lancaster,VA,5013.0,5835.0
Lander,NV,3276.0,2611.0
Lane,KS,864.0,838.0
Lane,OR,179116.0,184355.0
Langlade,WI,9709.0,9481.0
Lanier,GA,5208.0,5180.0
Lapeer,MI,44663.0,43542.0
Laramie,WY,49218.0,47813.0
Larimer,CO,164920.0,166056.0
Larue,KY,6976.0,7126.0
Las Animas,CO,7323.0,6828.0
Lassen,CA,20786.0,10684.0
Latah,ID,19813.0,18884.0
Latimer,OK,5387.0,5234.0
Lauderdale,AL,44263.0,48327.0
Lauderdale,MS,38002.0,40219.0
Lauderdale,TN,13524.0,12973.0
