county,state,percentage16_Donald_Trump,percentage16_Hillary_Clinton,total_votes16,votes16_Donald_Trump,votes16_Hillary_Clinton,percentage20_Donald_Trump,percentage20_Joe_Biden,total_votes20,votes20_Donald_Trump,votes20_Joe_Biden,cases,deaths,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Income,IncomePerCap,Poverty,Unemployment
Aiken,SC,0.615,0.34,74773.0,45981.0,25426.0,0.606,0.379,85185.0,51589.0,32275.0,5140.0,87.0,165707.0,80260.0,85447.0,5.5,66.7,24.5,0.2,1.0,0.0,47713.0,26222.0,16.7,9.0
Aitkin,MN,0.601,0.341,9185.0,5516.0,3134.0,0.625,0.36,10010.0,6258.0,3607.0,232.0,3.0,15841.0,8079.0,7762.0,1.3,94.1,0.5,2.2,0.4,0.0,45860.0,26883.0,12.1,6.2
Alachua,FL,0.364,0.59,127827.0,46584.0,75370.0,0.35600000000000004,0.627,142784.0,50891.0,89527.0,10706.0,78.0,259865.0,125712.0,134153.0,9.3,62.0,19.8,0.3,5.9,0.1,45478.0,26431.0,23.3,6.6
Alamance,NC,0.552,0.423,69264.0,38235.0,29268.0,0.537,0.451,84710.0,45490.0,38186.0,5409.0,88.0,157844.0,75078.0,82766.0,12.3,65.0,18.9,0.3,1.5,0.0,44281.0,25157.0,17.6,6.0
Alameda,CA,0.151,0.795,424517.0,64010.0,337524.0,0.17600000000000002,0.804,750128.0,131985.0,602851.0,23994.0,464.0,1629615.0,799649.0,829966.0,22.5,32.2,10.7,0.3,28.7,0.8,85743.0,41363.0,11.3,6.0
Alamosa,CO,0.439,0.45899999999999996,6897.0,3031.0,3168.0,0.489,0.48200000000000004,7519.0,3676.0,3624.0,360.0,9.0,16345.0,8085.0,8260.0,45.8,48.6,1.6,1.3,1.0,0.2,36315.0,19217.0,27.8,9.9
Albany,NY,0.35200000000000004,0.595,125644.0,44227.0,74775.0,0.375,0.602,121529.0,45570.0,73189.0,3750.0,140.0,308580.0,149287.0,159293.0,5.7,73.0,11.7,0.1,6.4,0.0,62293.0,35278.0,12.4,5.3
Albany,WY,0.46299999999999997,0.419,16420.0,7601.0,6888.0,0.461,0.488,18617.0,8579.0,9092.0,1562.0,4.0,37944.0,19883.0,18061.0,9.3,82.9,1.3,0.7,2.9,0.0,45816.0,26034.0,23.0,4.8
Albemarle,VA,0.34299999999999997,0.593,56134.0,19232.0,33297.0,0.324,0.6609999999999999,64284.0,20804.0,42466.0,1612.0,24.0,105105.0,50283.0,54822.0,5.7,77.2,9.5,0.2,5.0,0.0,72265.0,39273.0,9.8,3.2
Alcona,MI,0.68,0.28,6179.0,4201.0,1732.0,0.6859999999999999,0.303,7063.0,4848.0,2142.0,55.0,3.0,10413.0,5247.0,5166.0,1.4,96.0,0.3,0.5,0.4,0.0,39424.0,24463.0,14.9,9.3
