county,state,votes16_Donald_Trump,votes16_Hillary_Clinton,total_votes16
Bates,MO,6000.0,1617.0,8021.0
Bath,KY,3082.0,1361.0,4583.0
Bath,VA,1548.0,603.0,2243.0
Baxter,AR,14655.0,4163.0,19730.0
Bay,FL,62010.0,21689.0,87151.0
Bay,MI,28327.0,21641.0,52932.0
Bayfield,WI,4125.0,4953.0,9491.0
Baylor,TX,1267.0,191.0,1492.0
Beadle,SD,4455.0,1912.0,6772.0
Bear Lake,ID,2203.0,255.0,2928.0
Beaufort,NC,14478.0,8699.0,23599.0
Beaufort,SC,39986.0,29577.0,72770.0
Beauregard,LA,12238.0,2393.0,15078.0
Beaver,OK,1987.0,176.0,2237.0
Beaver,PA,46081.0,30225.0,79036.0
Beaver,UT,1838.0,264.0,2484.0
Beaverhead,MT,3243.0,1115.0,4694.0
Becker,MN,10880.0,5208.0,17090.0
Beckham,OK,6287.0,958.0,7529.0
Bedford,PA,19455.0,3613.0,23504.0
Bedford,TN,11455.0,3384.0,15300.0
Bedford,VA,30578.0,9733.0,42186.0
Bee,TX,4743.0,3443.0,8458.0
Bell,KY,7764.0,1720.0,9718.0
Bell,TX,51780.0,37608.0,93999.0
Belmont,OH,20729.0,8652.0,30537.0
Beltrami,MN,10783.0,8688.0,21316.0
Ben Hill,GA,3734.0,2098.0,5923.0
Benewah,ID,3101.0,780.0,4192.0
Bennett,SD,666.0,412.0,1149.0
Bennington,VT,5925.0,9539.0,16345.0
Benson,ND,927.0,842.0,1940.0
Bent,CO,1166.0,581.0,1892.0
Benton,AR,60751.0,27894.0,96556.0
Benton,IA,8226.0,4672.0,13690.0
Benton,IN,2579.0,860.0,3654.0
Benton,MN,12872.0,5640.0,19911.0
Benton,MO,7212.0,2024.0,9584.0
Benton,MS,2240.0,1713.0,3996.0
Benton,OR,13030.0,28431.0,45577.0
Benton,TN,4715.0,1474.0,6322.0
Benton,WA,42071.0,23160.0,70499.0
Benzie,MI,5539.0,4108.0,10221.0
Bergen,NJ,163220.0,209251.0,383965.0
Berkeley,SC,44223.0,30492.0,78919.0
Berkeley,WV,28210.0,12287.0,42770.0
Berks,PA,93094.0,75169.0,175934.0
Bernalillo,NM,93874.0,141960.0,272004.0
Berrien,GA,5408.0,1041.0,6563.0
Berrien,MI,38646.0,29496.0,71882.0
Bertie,NC,3476.0,5837.0,9380.0
Bexar,TX,240161.0,319191.0,586038.0
Bibb,AL,6733.0,1874.0,8748.0
Bibb,GA,22589.0,34383.0,58327.0
Bienville,LA,3756.0,3129.0,7005.0
Big Horn,MT,1833.0,2061.0,4168.0
Big Horn,WY,4067.0,594.0,5079.0
Big Stone,MN,1607.0,921.0,2729.0
Billings,ND,492.0,58.0,592.0
Bingham,ID,10907.0,2924.0,16625.0
Black Hawk,IA,27382.0,32006.0,63221.0
Blackford,IN,3349.0,1243.0,4822.0
Bladen,NC,8511.0,7021.0,15743.0
Blaine,ID,3340.0,6416.0,10723.0
Blaine,MT,1259.0,1187.0,2645.0
Blaine,NE,273.0,30.0,313.0
Blaine,OK,2884.0,711.0,3793.0
Blair,PA,37224.0,13093.0,52029.0
Blanco,TX,4212.0,1244.0,5669.0
Bland,VA,2572.0,453.0,3124.0
Bleckley,GA,3717.0,1094.0,4934.0
Bledsoe,TN,3621.0,896.0,4650.0
Blount,AL,22808.0,2150.0,25384.0
Blount,TN,37385.0,12085.0,51849.0
Blue Earth,MN,15667.0,14428.0,33256.0
Boise,ID,2673.0,777.0,3812.0
Bolivar,MS,4251.0,8410.0,12831.0
Bollinger,MO,4827.0,705.0,5669.0
Bon Homme,SD,2105.0,704.0,2974.0
Bond,IL,4884.0,2066.0,7462.0
Bonner,ID,10220.0,5140.0,16815.0
Bonneville,ID,26699.0,8930.0,44212.0
Boone,AR,12225.0,2925.0,16098.0
Boone,IA,7458.0,5517.0,13984.0
Boone,IL,12261.0,8952.0,22604.0
Boone,IN,19654.0,10181.0,32061.0
Boone,KY,39082.0,15026.0,57570.0
Boone,MO,36146.0,41072.0,83312.0
Boone,NE,2299.0,414.0,2867.0
Boone,WV,6483.0,1783.0,8654.0
Borden,TX,330.0,31.0,365.0
Bosque,TX,6325.0,1277.0,7797.0
Bossier,LA,35451.0,12638.0,49818.0
Botetourt,VA,13369.0,4492.0,18641.0
Bottineau,ND,2482.0,734.0,3437.0
Boulder,CO,38766.0,124715.0,176735.0
Boundary,ID,3789.0,933.0,5150.0
Bourbon,KS,4314.0,1306.0,5918.0
Bourbon,KY,5569.0,2791.0,8795.0
Bowie,TX,24913.0,8831.0,34470.0
Bowman,ND,1445.0,227.0,1769.0
Box Butte,NE,3550.0,953.0,4761.0
Box Elder,UT,10324.0,1814.0,16548.0
Boyd,KY,13591.0,6021.0,20454.0
Boyd,NE,978.0,128.0,1142.0
Boyle,KY,8040.0,4281.0,12938.0
Bracken,KY,2711.0,705.0,3527.0
Bradford,FL,8913.0,2924.0,12098.0
Bradford,PA,17957.0,6263.0,25399.0
Bradley,AR,2163.0,1317.0,3652.0
Bradley,TN,29761.0,7070.0,38392.0
Branch,MI,11025.0,4740.0,16490.0
Brantley,GA,5561.0,619.0,6285.0
Braxton,WV,3516.0,1315.0,5063.0
Brazoria,TX,72653.0,43075.0,120296.0
