county,state,Poverty,Income,IncomePerCap,Unemployment
Blaine,OK,15.0,46362.0,22823.0,3.6
Blair,PA,15.2,45664.0,25531.0,5.2
Blanco,TX,10.8,58500.0,31249.0,5.7
Bland,VA,8.3,46927.0,23505.0,6.7
Bleckley,GA,23.0,40688.0,20667.0,7.7
Bledsoe,TN,20.7,40450.0,21402.0,8.4
Blount,AL,15.6,47412.0,22021.0,4.9
Blount,TN,13.0,51172.0,28334.0,5.9
Blue Earth,MN,18.1,53752.0,28283.0,4.5
Boise,ID,11.3,49964.0,29648.0,6.0
Bolivar,MS,37.4,28468.0,16984.0,12.6
Bollinger,MO,19.9,40791.0,20687.0,5.1
Bon Homme,SD,10.3,52923.0,24858.0,1.2
Bond,IL,15.7,54393.0,24473.0,5.1
Bonner,ID,14.0,45607.0,25909.0,4.4
Bonneville,ID,11.9,54150.0,25706.0,3.8
Boone,AR,15.8,40727.0,22288.0,6.1
Boone,IA,9.4,57906.0,30190.0,4.4
Boone,IL,10.6,62701.0,29029.0,8.1
Boone,IN,6.1,75591.0,42844.0,3.3
Boone,KY,7.6,72731.0,33553.0,4.9
Boone,MO,18.7,52005.0,28495.0,4.4
Boone,NE,7.3,53854.0,28861.0,1.7
Boone,WV,24.4,37955.0,20992.0,10.6
Borden,TX,2.8,77708.0,38923.0,1.5
Bosque,TX,15.6,48677.0,25763.0,5.2
Bossier,LA,16.4,52145.0,27235.0,5.8
Botetourt,VA,7.7,64733.0,34733.0,3.8
Bottineau,ND,8.6,58767.0,35698.0,3.3
Boulder,CO,13.1,75669.0,42119.0,5.2
Boundary,ID,18.3,39512.0,24606.0,3.8
Bourbon,KS,17.6,39379.0,20707.0,2.2
Bourbon,KY,16.6,47886.0,25994.0,6.9
Bowie,TX,17.9,46283.0,24761.0,7.3
Bowman,ND,8.5,65435.0,36318.0,1.6
Box Butte,NE,10.9,56328.0,28483.0,5.1
Box Elder,UT,10.2,58835.0,22808.0,5.5
Boyd,KY,19.3,45543.0,26420.0,9.3
Boyd,NE,9.8,48750.0,26413.0,1.6
Boyle,KY,15.5,43076.0,23822.0,4.9
Bracken,KY,21.4,40458.0,22433.0,7.6
Bradford,FL,18.8,46106.0,19656.0,7.6
Bradford,PA,12.2,50900.0,26937.0,5.6
Bradley,AR,26.4,36310.0,21575.0,9.4
Bradley,TN,18.0,46381.0,25144.0,7.2
Branch,MI,15.9,48192.0,22977.0,4.6
Brantley,GA,21.8,36812.0,18220.0,7.8
Braxton,WV,22.1,41266.0,20633.0,15.3
Brazoria,TX,9.9,76426.0,32343.0,4.9
Brazos,TX,26.0,43907.0,25337.0,4.7
Breathitt,KY,36.0,25861.0,16875.0,11.9
Breckinridge,KY,17.7,44057.0,20735.0,9.8
Bremer,IA,7.7,65440.0,32105.0,3.6
Brevard,FL,13.4,51536.0,29405.0,7.6
Brewster,TX,10.9,38906.0,26073.0,7.1
Briscoe,TX,13.9,42500.0,23199.0,6.2
Bristol,RI,7.0,74630.0,42360.0,4.2
Broadwater,MT,7.8,55295.0,32268.0,4.1
Bronx,NY,29.7,36593.0,19721.0,11.6
Brooke,WV,13.0,48835.0,25630.0,3.5
Brookings,SD,15.9,53473.0,27197.0,3.3
Brooks,GA,23.6,34890.0,20964.0,13.6
Brooks,TX,41.5,24794.0,13549.0,13.8
Broome,NY,17.1,49064.0,26790.0,7.2
Broomfield,CO,5.2,85639.0,43736.0,4.0
Broward,FL,14.0,54895.0,30109.0,7.6
Brown,IL,11.6,56289.0,21906.0,4.7
Brown,IN,10.6,59292.0,31365.0,5.9
Brown,KS,13.2,46964.0,24319.0,3.4
Brown,MN,8.1,55764.0,29696.0,2.3
Brown,NE,16.0,42773.0,29664.0,0.6
Brown,OH,17.8,49188.0,24525.0,6.5
Brown,SD,11.0,53807.0,31493.0,1.8
Brown,TX,16.4,43062.0,24040.0,4.3
Brown,WI,11.3,56775.0,29874.0,4.4
Brule,SD,14.6,50870.0,26074.0,2.0
Brunswick,NC,14.1,51164.0,29707.0,7.8
Brunswick,VA,20.9,40871.0,20278.0,7.8
Bryan,GA,14.1,68589.0,29880.0,7.9
Bryan,OK,17.5,41197.0,22171.0,6.4
Buchanan,IA,7.8,59348.0,30974.0,3.2
Buchanan,MO,17.3,48652.0,24271.0,5.7
Buchanan,VA,26.5,30828.0,19241.0,8.6
Buckingham,VA,16.6,46610.0,19702.0,8.4
Bucks,PA,6.1,82031.0,41924.0,5.4
Buena Vista,IA,13.7,52784.0,26345.0,4.9
Buffalo,NE,14.4,55053.0,28553.0,3.1
Buffalo,SD,40.5,30500.0,10960.0,17.0
Buffalo,WI,10.7,54753.0,28286.0,3.5
Bullitt,KY,10.2,59917.0,26643.0,5.9
Bulloch,GA,30.4,39305.0,20526.0,9.3
Bullock,AL,28.5,29655.0,20856.0,12.1
Buncombe,NC,13.2,48464.0,29590.0,4.7
Bureau,IL,12.6,54271.0,28332.0,5.7
Burke,GA,29.2,38707.0,19720.0,5.8
Burke,NC,19.3,40854.0,21885.0,9.3
Burke,ND,7.3,71667.0,35674.0,2.6
Burleigh,ND,8.5,67308.0,36483.0,1.8
Burleson,TX,15.1,52510.0,27112.0,6.7
Burlington,NJ,6.4,82839.0,39528.0,6.9
Burnet,TX,12.3,57173.0,29247.0,4.3
Burnett,WI,14.6,45891.0,26308.0,5.1
Burt,NE,12.3,50174.0,26421.0,3.5
Butler,AL,24.4,36326.0,19004.0,7.6
Butler,IA,9.4,53937.0,28584.0,3.2
Butler,KS,10.8,62324.0,28478.0,4.5
Butler,KY,22.0,39362.0,21787.0,5.4
Butler,MO,21.6,37878.0,20855.0,9.2
Butler,NE,7.8,52448.0,27216.0,4.4
Butler,OH,12.9,62188.0,29745.0,5.4
Butler,PA,8.4,66037.0,35101.0,4.5
Butte,CA,20.5,46516.0,26304.0,9.1
Butte,ID,16.2,43207.0,26227.0,6.7
Butte,SD,11.1,44786.0,26178.0,2.8
Butts,GA,23.5,39655.0,21236.0,7.6
Cabarrus,NC,11.5,60716.0,29143.0,6.8
Cabell,WV,23.2,37816.0,24646.0,5.5
Cache,UT,15.2,53812.0,21752.0,3.6
Caddo,OK,20.8,41626.0,21071.0,7.6
Caddo,LA,23.4,40391.0,25565.0,7.0
Calaveras,CA,12.8,54800.0,31652.0,7.1
Calcasieu,LA,16.8,48219.0,26569.0,6.6
Caldwell,KY,17.5,46182.0,25272.0,6.9
Caldwell,MO,13.3,44975.0,24200.0,3.8
Caldwell,NC,16.4,40735.0,21991.0,7.9
Caldwell,TX,17.7,51346.0,23366.0,3.4
Caldwell,LA,26.2,31933.0,20961.0,9.4
Calhoun,AL,18.6,43686.0,23638.0,10.1
Calhoun,AR,19.6,37225.0,22866.0,5.7
Calhoun,FL,12.9,36237.0,15927.0,8.6
Calhoun,GA,32.2,29617.0,13865.0,14.9
Calhoun,IA,15.3,46302.0,27370.0,2.3
Calhoun,IL,12.8,53641.0,25660.0,3.7
Calhoun,MI,17.4,46213.0,24859.0,7.4
Calhoun,MS,26.9,33370.0,17837.0,8.4
Calhoun,SC,18.3,44010.0,24766.0,6.5
Calhoun,TX,15.8,58788.0,26909.0,6.3
Calhoun,WV,17.1,36279.0,19696.0,14.5
Callahan,TX,15.6,40945.0,22205.0,3.5
Callaway,MO,12.3,53180.0,24208.0,4.3
Calloway,KY,22.4,39269.0,21757.0,5.7
Calumet,WI,5.9,70662.0,32713.0,2.0
Calvert,MD,5.7,100350.0,41469.0,7.3
Camas,ID,22.3,36667.0,29193.0,4.4
Cambria,PA,15.6,44943.0,24838.0,7.5
Camden,GA,12.7,53687.0,26854.0,8.2
Camden,MO,17.5,50496.0,25492.0,8.0
Camden,NC,9.0,68327.0,27468.0,8.9
Camden,NJ,13.1,65037.0,32931.0,7.9
Cameron,PA,14.4,40402.0,24933.0,4.1
Cameron,TX,31.2,36095.0,16085.0,8.0
Cameron,LA,8.7,60194.0,29681.0,3.0
Camp,TX,17.4,41811.0,21069.0,6.1
Campbell,KY,14.2,57208.0,31065.0,5.4
Campbell,SD,4.7,51548.0,36158.0,1.0
Campbell,TN,20.6,35377.0,21282.0,8.0
Campbell,VA,11.7,48823.0,26417.0,3.4
Campbell,WY,9.4,80178.0,33200.0,4.6
Canadian,OK,7.9,69220.0,29852.0,4.3
Candler,GA,31.5,33125.0,18233.0,6.3
Cannon,TN,17.0,47457.0,24595.0,6.6
Canyon,ID,17.1,46426.0,19765.0,7.3
Cape Girardeau,MO,17.7,49554.0,25965.0,5.3
Cape May,NJ,10.6,62332.0,36256.0,8.4
Carbon,MT,9.9,56988.0,31697.0,4.0
Carbon,PA,12.8,51236.0,25680.0,7.6
Carbon,UT,16.2,46994.0,22536.0,5.4
Carbon,WY,13.3,57644.0,27797.0,3.4
Caribou,ID,9.4,58750.0,25669.0,2.7
Carlisle,KY,17.3,38860.0,24015.0,7.0
Carlton,MN,12.1,58874.0,26900.0,3.9
Caroline,MD,16.5,52469.0,25355.0,6.5
Caroline,VA,11.9,60925.0,28039.0,6.3
Carroll,AR,15.7,39686.0,21754.0,5.1
Carroll,GA,18.6,46844.0,23139.0,9.4
Carroll,IA,10.3,54563.0,29191.0,2.5
Carroll,IL,11.3,50555.0,27605.0,5.8
Carroll,IN,10.2,56188.0,26589.0,5.2
Carroll,KY,27.7,43345.0,22296.0,10.3
Carroll,MD,5.5,90510.0,39690.0,4.0
Carroll,MO,18.4,43583.0,24642.0,8.2
Carroll,MS,14.0,43068.0,22995.0,7.0
Carroll,NH,9.2,58139.0,35646.0,4.7
Carroll,OH,14.8,51748.0,26908.0,4.7
Carroll,TN,19.8,38201.0,20557.0,6.9
Carroll,VA,14.6,41145.0,23690.0,3.8
Carson City,NV,14.7,49341.0,28044.0,7.7
Carson,TX,6.4,67010.0,31788.0,1.9
Carter,KY,21.5,35095.0,18477.0,10.0
Carter,MO,14.5,37875.0,21569.0,6.9
Carter,MT,11.8,45347.0,30659.0,2.9
Carter,OK,16.4,47754.0,24965.0,6.4
Carter,TN,24.5,34625.0,21001.0,6.3
Carteret,NC,12.5,51584.0,30903.0,8.0
Carver,MN,4.0,93095.0,44212.0,2.4
Cascade,MT,13.1,46827.0,28350.0,4.6
Casey,KY,26.6,33031.0,18319.0,7.5
Cass,IA,15.1,45637.0,26427.0,2.5
Cass,IL,13.1,50156.0,25451.0,6.9
Cass,IN,13.9,45558.0,23592.0,6.4
Cass,MI,13.6,50699.0,28019.0,7.8
Cass,MN,15.3,50162.0,28004.0,5.7
Cass,MO,9.5,65352.0,30618.0,4.9
Cass,ND,11.2,58026.0,34193.0,2.7
Cass,NE,6.3,68284.0,32509.0,2.8
Cass,TX,18.5,41432.0,22145.0,7.3
Cassia,ID,14.7,48162.0,20007.0,4.3
