county,state,TotalPop,Hispanic,White,Black,Native,Asian,Pacific
Carbon,WY,15689.0,17.9,77.7,1.2,1.5,0.7,0.1
Caribou,ID,6862.0,5.4,93.5,0.0,0.1,0.0,0.0
Carlisle,KY,4890.0,2.3,94.4,1.6,0.6,0.2,0.0
Carlton,MN,35408.0,1.7,88.3,1.6,5.3,0.5,0.0
Caroline,MD,32785.0,6.9,76.3,13.2,0.1,0.6,0.0
Caroline,VA,29889.0,4.3,63.6,28.1,0.4,0.9,0.0
Carroll,AR,27782.0,14.8,80.6,0.5,0.6,1.0,0.6
Carroll,GA,114898.0,6.7,71.1,18.7,0.3,0.8,0.1
Carroll,IA,20428.0,2.4,95.3,1.5,0.1,0.2,0.0
Carroll,IL,14704.0,3.6,93.4,1.2,0.1,0.7,0.0
Carroll,IN,19994.0,3.9,94.2,0.5,0.2,0.1,0.0
Carroll,KY,10695.0,6.6,89.1,2.5,0.1,0.3,0.0
Carroll,MD,167319.0,3.2,89.8,3.3,0.2,1.7,0.0
Carroll,MO,8909.0,1.5,94.9,0.9,0.0,0.3,0.0
Carroll,MS,10221.0,0.5,64.3,33.5,0.1,0.7,0.0
Carroll,NH,47524.0,1.4,96.1,0.5,0.1,0.6,0.0
Carroll,OH,27825.0,1.3,96.4,0.9,0.1,0.4,0.1
Carroll,TN,28137.0,2.4,84.9,9.8,0.3,0.3,0.1
Carroll,VA,29767.0,3.1,95.0,0.2,0.1,0.1,0.0
Carson City,NV,54219.0,23.4,68.1,1.6,2.0,2.4,0.1
Carson,TX,6033.0,9.7,86.4,0.6,0.4,0.5,0.2
Carter,KY,27385.0,0.9,96.8,0.8,0.4,0.1,0.0
Carter,MO,6255.0,2.3,94.6,0.0,0.8,0.0,0.0
Carter,MT,1320.0,0.3,97.7,0.0,0.4,0.0,0.0
Carter,OK,48407.0,6.8,70.8,6.4,7.1,1.1,0.0
Carter,TN,56500.0,1.7,95.1,1.4,0.3,0.4,0.0
Carteret,NC,68699.0,4.2,86.4,5.7,0.2,1.1,0.0
Carver,MN,98799.0,4.1,89.6,1.5,0.2,2.5,0.0
Cascade,MT,81816.0,4.2,85.8,1.3,4.2,0.8,0.1
Casey,KY,15805.0,2.8,95.0,0.6,0.3,0.3,0.0
Cass,IA,13327.0,2.4,95.8,0.3,0.1,0.5,0.2
Cass,IL,12880.0,18.8,76.2,3.9,0.0,0.3,0.0
Cass,IN,38248.0,14.6,81.0,1.4,0.3,1.5,0.0
Cass,MI,51397.0,3.7,86.4,4.8,1.1,0.8,0.0
Cass,MN,28810.0,2.0,83.3,0.4,10.9,0.6,0.0
Cass,MO,101888.0,4.2,88.5,3.7,0.4,0.8,0.0
Cass,ND,170620.0,2.5,87.1,4.3,1.0,2.9,0.0
Cass,NE,25513.0,3.1,94.0,0.3,0.2,0.3,0.3
Cass,TX,30118.0,4.3,76.4,17.0,0.0,0.4,0.0
Cassia,ID,23472.0,27.0,70.4,0.1,0.9,0.6,0.1
Castro,TX,7891.0,63.9,32.9,0.7,0.1,1.2,0.0
Caswell,NC,22833.0,3.8,61.1,33.0,0.1,0.6,0.2
Catahoula,LA,10044.0,1.5,66.0,31.9,0.1,0.2,0.0
Catawba,NC,156182.0,9.3,76.1,7.9,0.2,4.1,0.0
Catoosa,GA,65870.0,2.9,91.4,2.3,0.2,1.3,0.0
Catron,NM,3547.0,15.8,83.3,0.3,0.1,0.3,0.0
Cattaraugus,NY,78175.0,2.0,90.8,1.6,2.9,0.9,0.0
Cavalier,ND,3817.0,1.0,95.7,0.3,1.1,0.0,0.0
Cayuga,NY,78319.0,2.8,90.5,3.9,0.2,0.5,0.0
Cecil,MD,102416.0,4.1,85.8,6.4,0.3,1.4,0.0
Cedar,IA,18368.0,1.9,95.8,0.7,0.2,0.3,0.0
Cedar,MO,13862.0,2.0,95.0,0.0,0.0,0.2,0.2
Cedar,NE,8561.0,1.7,97.0,0.0,0.8,0.0,0.0
Centre,PA,160646.0,2.8,85.8,3.6,0.1,6.0,0.0
Cerro Gordo,IA,43134.0,4.6,91.2,1.7,0.3,1.1,0.0
Chaffee,CO,18818.0,10.1,85.3,1.6,0.4,0.8,0.0
Chambers,AL,33895.0,2.2,56.2,39.3,0.3,1.0,0.0
Chambers,TX,39283.0,21.4,68.0,8.0,0.1,1.3,0.0
Champaign,IL,207946.0,5.7,68.3,13.0,0.1,10.3,0.1
Champaign,OH,39005.0,1.5,93.5,1.6,0.1,0.5,0.1
Chariton,MO,7586.0,0.9,95.3,2.2,0.1,0.1,0.0
Charles City,VA,7022.0,1.8,41.5,45.9,6.5,0.9,0.0
Charles,MD,156021.0,5.4,43.1,42.8,0.6,3.1,0.1
Charles Mix,SD,9319.0,3.1,63.3,0.1,29.9,0.2,0.1
Charleston,SC,387847.0,5.0,63.9,27.6,0.1,1.3,0.0
Charlevoix,MI,26160.0,1.8,94.0,0.4,1.2,0.4,0.1
Charlotte,FL,173236.0,6.9,84.4,5.5,0.3,1.2,0.0
Charlotte,VA,12176.0,2.1,67.5,29.6,0.1,0.1,0.0
Charlton,GA,12963.0,8.4,62.0,25.3,1.5,0.8,0.0
Chase,KS,2665.0,4.4,91.6,1.5,0.0,0.0,0.0
Chase,NE,3803.0,10.5,88.9,0.1,0.0,0.0,0.0
Chatham,GA,285506.0,6.3,49.1,39.4,0.2,2.5,0.1
Chatham,NC,68364.0,12.6,71.4,11.7,0.2,1.4,0.1
Chattahoochee,GA,11096.0,15.3,59.1,17.9,0.8,2.5,0.2
Chattooga,GA,24880.0,4.7,83.1,10.2,0.1,0.4,0.0
Chautauqua,KS,3425.0,3.4,86.7,0.4,5.3,0.0,0.0
Chautauqua,NY,130846.0,7.2,87.8,2.4,0.3,0.6,0.0
Chaves,NM,65454.0,55.6,40.4,1.5,0.8,0.6,0.0
Cheatham,TN,39713.0,2.7,93.4,1.3,0.2,0.5,0.3
Cheboygan,MI,25475.0,1.3,92.2,0.8,2.0,0.4,0.0
Chelan,WA,75138.0,27.5,68.3,0.4,0.9,0.9,0.1
Chemung,NY,86883.0,3.0,86.5,5.8,0.4,1.5,0.0
Chenango,NY,48763.0,2.1,94.9,0.9,0.3,0.4,0.0
Cherokee,AL,25855.0,1.6,91.8,5.0,0.5,0.1,0.0
Cherokee,GA,235896.0,10.0,79.9,6.2,0.1,1.9,0.0
Cherokee,IA,11577.0,3.4,94.0,1.0,0.4,0.4,0.0
Cherokee,KS,20501.0,2.4,88.6,0.4,3.0,0.2,0.5
Cherokee,NC,27463.0,3.0,91.5,1.4,1.2,0.7,0.0
Cherokee,OK,48404.0,6.9,48.3,1.3,33.2,0.6,0.3
Cherokee,SC,56549.0,4.1,73.1,19.9,0.1,0.6,0.1
Cherokee,TX,51594.0,22.5,61.3,13.6,0.5,0.6,0.0
Cherry,NE,5792.0,3.1,88.5,0.0,4.0,0.2,0.2
Chester,PA,514652.0,7.2,80.2,5.7,0.1,4.9,0.0
Chester,SC,32424.0,1.9,58.9,36.4,0.3,0.4,0.0
Chester,TN,17097.0,2.4,86.0,9.7,0.0,0.5,0.0
Chesterfield,SC,46127.0,4.2,60.8,32.0,0.4,0.5,0.1
Chesterfield,VA,335594.0,8.2,62.8,22.4,0.2,3.4,0.0
Cheyenne,CO,2127.0,14.9,80.0,0.0,0.0,3.1,0.1
Cheyenne,KS,2677.0,6.5,90.3,0.0,0.0,0.9,0.0
Cheyenne,NE,10012.0,6.7,89.9,0.4,0.3,0.8,0.0
Chickasaw,IA,12140.0,2.2,96.3,0.4,0.3,0.4,0.0
Chickasaw,MS,17305.0,4.4,50.5,43.3,0.1,0.1,0.0
Chicot,AR,11008.0,5.2,39.1,54.1,0.4,0.5,0.0
Childress,TX,7064.0,21.7,64.1,7.2,1.0,1.4,3.4
Chilton,AL,43805.0,7.7,80.4,9.5,0.4,0.4,0.0
Chippewa,MI,38023.0,1.8,70.1,6.4,13.9,1.0,0.1
Chippewa,MN,12040.0,6.3,88.8,0.6,1.4,0.7,1.0
Chippewa,WI,63445.0,1.7,93.9,1.3,0.2,1.3,0.0
Chisago,MN,54297.0,2.0,93.8,1.3,0.4,1.0,0.0
Chittenden,VT,160985.0,2.2,89.2,2.5,0.2,3.8,0.0
Choctaw,AL,13188.0,0.5,56.3,42.1,0.0,0.1,0.0
Choctaw,MS,8360.0,0.5,67.6,30.9,0.5,0.1,0.1
Choctaw,OK,14979.0,4.0,61.3,11.4,15.1,0.1,0.2
Chouteau,MT,5812.0,2.3,76.5,0.1,19.1,0.4,0.0
Chowan,NC,14370.0,3.6,59.7,33.8,0.8,0.0,0.0
Christian,IL,33562.0,1.6,95.2,1.6,0.3,0.6,0.1
Christian,KY,72438.0,7.5,66.3,20.4,0.5,1.3,0.3
Christian,MO,83028.0,2.8,93.7,0.6,0.3,0.5,0.1
Churchill,NV,24022.0,13.4,73.9,2.4,4.0,2.4,0.2
Cibola,NM,27049.0,38.0,20.0,1.0,39.2,0.4,0.0
Cimarron,OK,2221.0,20.8,77.7,0.3,0.6,0.2,0.0
Citrus,FL,141373.0,5.3,88.6,2.8,0.3,1.6,0.0
Clackamas,OR,399962.0,8.4,82.7,0.9,0.6,4.1,0.2
Claiborne,MS,9106.0,0.4,12.1,86.9,0.2,0.4,0.0
Claiborne,TN,31566.0,1.2,95.6,1.0,0.1,0.6,0.1
Claiborne,LA,16296.0,1.4,45.6,51.2,0.2,0.0,0.0
Clallam,WA,73439.0,6.0,83.3,1.1,4.4,1.5,0.1
Clare,MI,30597.0,1.9,95.1,0.5,0.5,0.3,0.0
Clarendon,SC,34156.0,3.0,47.4,48.3,0.1,0.3,0.0
Clarion,PA,38747.0,0.8,96.3,1.0,0.2,0.5,0.0
Clark,AR,22495.0,4.6,69.1,23.8,0.3,0.7,0.0
Clark,ID,1055.0,42.0,51.4,0.2,5.7,0.0,0.0
Clark,IL,15924.0,1.5,96.7,0.3,0.1,0.4,0.0
Clark,IN,114893.0,5.3,83.9,6.7,0.1,0.7,0.0
Clark,KS,2089.0,10.7,83.1,1.0,1.4,0.9,0.0
Clark,KY,35757.0,2.7,90.5,5.0,0.1,0.5,0.0
Clark,MO,6807.0,0.5,97.2,0.3,0.2,0.1,0.0
Clark,NV,2112436.0,30.7,44.1,10.8,0.4,9.5,0.7
Clark,OH,135520.0,3.2,84.4,8.1,0.1,0.6,0.1
Clark,SD,3642.0,1.8,94.8,0.0,1.7,0.9,0.0
Clark,WA,457474.0,9.0,79.4,1.8,0.5,4.4,0.7
Clark,WI,34513.0,4.4,93.5,0.4,0.2,0.4,0.0
Clarke,AL,24625.0,0.2,53.0,45.7,0.1,0.5,0.1
Clarke,GA,123554.0,10.6,55.6,27.3,0.1,4.2,0.0
Clarke,IA,9267.0,12.7,84.6,0.1,0.0,1.0,0.0
Clarke,MS,16089.0,0.9,63.4,35.1,0.1,0.0,0.0
Clarke,VA,14331.0,4.8,86.9,4.9,0.4,1.0,0.0
Clatsop,OR,38021.0,8.3,86.0,0.7,0.3,0.9,0.3
Clay,AL,13407.0,3.1,80.2,14.7,0.9,0.0,0.0
Clay,AR,15190.0,1.9,95.8,0.7,0.5,0.0,0.0
Clay,FL,203291.0,9.3,74.2,9.6,0.1,3.0,0.1
Clay,GA,3024.0,4.7,30.3,64.3,0.0,0.0,0.0
Clay,IA,16387.0,3.3,94.0,0.2,0.0,0.5,0.0
Clay,IL,13393.0,1.4,96.4,0.7,0.1,0.7,0.0
Clay,IN,26375.0,1.3,96.4,0.4,0.1,0.3,0.0
Clay,KS,8203.0,2.4,94.5,0.7,0.6,0.6,0.0
Clay,KY,20866.0,2.5,92.6,3.3,0.3,0.0,0.1
Clay,MN,62040.0,4.3,88.5,2.5,1.3,1.1,0.0
Clay,MO,236068.0,6.6,82.1,5.6,0.3,2.2,0.2
Clay,MS,19990.0,0.6,39.2,59.0,0.3,0.7,0.0
Clay,NC,10753.0,3.3,95.0,1.6,0.1,0.0,0.0
Clay,NE,6264.0,8.9,89.2,0.4,0.2,0.3,0.0
Clay,SD,13907.0,2.7,88.2,1.5,2.9,2.5,0.0
Clay,TN,7684.0,1.6,94.8,2.1,0.7,0.5,0.0
Clay,TX,10369.0,5.7,90.4,0.5,1.2,0.3,0.0
Clay,WV,8901.0,0.3,97.7,0.0,0.5,0.0,0.1
Clayton,GA,274150.0,13.2,11.2,67.7,0.2,5.3,0.0
Clayton,IA,17711.0,1.9,96.2,1.0,0.1,0.4,0.0
Clear Creek,CO,9257.0,6.1,89.9,0.9,0.1,0.9,0.2
Clearfield,PA,80539.0,2.9,93.1,2.5,0.2,0.6,0.0
Clearwater,ID,8533.0,3.9,91.0,0.2,2.1,0.5,0.4
Clearwater,MN,8824.0,2.0,85.0,0.4,8.4,0.4,0.1
Cleburne,AL,14939.0,2.4,92.7,2.8,0.3,0.5,0.0
Cleburne,AR,25361.0,2.5,94.8,0.6,0.7,0.8,0.0
Clermont,OH,202166.0,1.8,93.9,1.4,0.2,1.1,0.0
Cleveland,AR,8332.0,1.8,84.7,11.0,0.4,0.1,0.0
Cleveland,NC,97038.0,3.3,73.4,20.7,0.2,1.0,0.0
Cleveland,OK,274024.0,8.2,72.8,4.6,3.5,4.3,0.1
Clinch,GA,6788.0,4.9,65.7,27.4,0.3,0.6,0.0
Clinton,IA,47587.0,3.0,91.5,2.6,0.4,0.7,0.0
Clinton,IL,37640.0,3.1,91.6,3.5,0.3,0.6,0.0
Clinton,IN,32455.0,15.2,83.0,0.6,0.2,0.3,0.1
Clinton,KY,10208.0,2.8,96.1,0.5,0.0,0.2,0.0
Clinton,MI,77321.0,4.4,90.2,1.7,0.1,1.5,0.0
Clinton,MO,20495.0,2.0,93.9,2.0,0.4,0.3,0.0
Clinton,NY,81224.0,2.8,89.9,4.1,0.2,1.5,0.0
Clinton,OH,41869.0,1.6,93.4,2.1,0.1,0.4,0.0
Clinton,PA,39321.0,1.4,95.3,1.4,0.1,0.7,0.0
Cloud,KS,9191.0,3.2,93.3,0.7,0.3,0.3,0.0
Coahoma,MS,24296.0,0.1,21.6,77.1,0.1,0.5,0.0
Coal,OK,5666.0,4.4,69.5,0.2,12.9,0.3,0.0
Cobb,GA,739072.0,12.8,53.1,26.3,0.1,5.1,0.0
Cochise,AZ,126516.0,35.0,55.7,3.6,0.9,1.8,0.4
Cochran,TX,2932.0,57.0,37.7,2.6,0.2,0.0,0.0
Cocke,TN,35262.0,2.2,93.6,1.6,0.4,0.0,0.0
Coconino,AZ,138639.0,13.9,54.3,1.2,25.8,1.8,0.1
Codington,SD,27963.0,2.1,93.2,0.5,1.7,0.6,0.0
Coffee,AL,51073.0,6.7,71.0,17.1,1.0,1.3,0.0
Coffee,GA,43048.0,11.3,58.6,27.9,0.1,0.7,0.0
Coffee,TN,54074.0,4.1,89.2,2.1,0.1,0.9,0.0
Coffey,KS,8328.0,2.5,93.7,0.8,0.6,0.5,0.0
Coke,TX,3238.0,21.1,76.9,0.6,0.6,0.2,0.0
Colbert,AL,54435.0,2.4,78.8,15.9,0.7,0.5,0.0
Cole,MO,76749.0,2.8,81.5,11.6,0.3,1.4,0.1
Coleman,TX,8422.0,17.4,77.3,2.7,0.8,0.8,0.0
Coles,IL,52540.0,2.4,91.0,3.8,0.2,1.2,0.0
Colfax,NE,10616.0,44.8,51.1,2.8,0.0,0.6,0.1
Colfax,NM,12522.0,49.2,47.2,0.6,1.0,0.3,0.0
Colleton,SC,37581.0,3.1,56.3,38.0,0.7,0.0,0.9
Collier,FL,356774.0,27.2,63.6,6.8,0.2,1.3,0.0
Collin,TX,914075.0,15.1,59.1,9.2,0.3,13.5,0.1
Collingsworth,TX,3026.0,31.3,60.3,3.5,4.3,0.1,0.0
Colorado,TX,20913.0,28.9,57.0,13.0,0.1,0.1,0.0
Colquitt,GA,45890.0,18.9,56.5,22.5,0.3,0.8,0.0
Columbia,AR,23992.0,2.5,59.4,34.9,0.3,1.1,0.0
Columbia,FL,68484.0,5.8,73.1,17.6,0.2,0.9,0.1
Columbia,GA,143723.0,6.2,70.1,16.3,0.2,4.0,0.0
Columbia,NY,61481.0,4.5,86.9,4.3,0.0,1.7,0.0
Columbia,OR,50207.0,4.8,89.1,0.5,1.1,1.2,0.2
Columbia,PA,66615.0,2.6,93.4,1.8,0.1,1.2,0.0
Columbia,WA,3999.0,7.4,86.5,0.5,0.5,2.5,0.8
Columbia,WI,56790.0,3.1,93.1,1.3,0.4,0.6,0.0
Columbiana,OH,104584.0,1.6,94.2,2.2,0.1,0.2,0.0
Columbus,NC,56589.0,5.1,59.5,30.4,3.4,0.4,0.0
Colusa,CA,21479.0,58.4,36.3,0.9,1.1,1.5,0.1
Comal,TX,129100.0,26.8,68.7,2.0,0.1,1.0,0.0
Comanche,KS,1741.0,8.4,90.8,0.0,0.0,0.0,0.0
Comanche,OK,123066.0,12.7,56.8,16.3,4.7,2.2,0.5
Comanche,TX,13492.0,27.3,70.4,0.7,0.5,0.6,0.0
Concho,TX,3858.0,53.0,44.9,0.7,0.1,1.0,0.0
Concordia,LA,20211.0,1.3,56.9,41.1,0.1,0.2,0.1
Conecuh,AL,12649.0,1.8,50.3,46.3,0.2,0.0,0.0
Conejos,CO,8147.0,53.4,43.9,0.3,1.5,0.1,0.1
Contra Costa,CA,1123678.0,25.3,44.9,8.3,0.2,15.8,0.5
Converse,WY,14166.0,7.8,91.3,0.0,0.1,0.0,0.0
Conway,AR,20954.0,3.8,81.8,11.0,0.3,0.1,0.0
Cook,GA,17190.0,5.8,64.9,27.2,0.3,0.6,0.0
Cook,IL,5238541.0,25.1,42.7,23.4,0.1,6.9,0.0
Cook,MN,5270.0,2.1,86.1,0.5,8.2,0.8,0.0
Cooke,TX,39064.0,17.3,76.4,2.5,0.7,0.9,0.2
Cooper,MO,17620.0,1.8,88.2,6.5,0.3,0.3,0.1
Coos,OR,62921.0,6.3,85.6,0.6,2.0,1.1,0.2
Coosa,AL,10955.0,0.1,65.3,33.2,0.1,0.0,0.0
Copiah,MS,28748.0,3.0,44.4,51.7,0.0,0.2,0.0
Corson,SD,4177.0,0.7,29.3,0.5,67.4,0.2,0.0
Cortland,NY,48334.0,2.6,92.7,1.7,0.2,0.7,0.0
Coryell,TX,75818.0,17.8,59.5,13.7,0.6,1.8,0.7
Coshocton,OH,36602.0,1.0,96.1,1.1,0.2,0.3,0.0
Costilla,CO,3628.0,63.8,32.1,0.4,0.1,1.5,0.0
Cottle,TX,1498.0,32.7,53.6,10.2,0.3,0.0,0.0
Cotton,OK,6000.0,7.3,76.6,2.0,8.2,0.0,0.0
Cottonwood,MN,11437.0,7.1,87.1,0.6,0.5,2.8,0.3
Covington,AL,37519.0,1.6,83.5,13.0,0.3,0.4,0.0
Covington,MS,19172.0,2.4,60.7,35.6,0.0,0.2,0.1
Coweta,GA,138015.0,6.8,71.5,17.4,0.1,1.8,0.0
Cowley,KS,35732.0,10.6,80.2,2.6,1.8,1.6,0.0
Cowlitz,WA,103590.0,8.6,84.3,0.7,1.0,1.3,0.2
Craig,OK,14563.0,3.4,64.2,2.9,20.5,0.8,0.2
Craig,VA,5131.0,0.0,99.4,0.1,0.0,0.0,0.0
Craighead,AR,104246.0,4.9,77.3,13.4,0.2,1.1,0.1
Crane,TX,4836.0,62.8,32.9,4.2,0.1,0.0,0.0
Craven,NC,103374.0,7.1,66.0,21.0,0.5,2.8,0.0
Crawford,AR,62119.0,7.3,85.0,1.3,1.6,1.8,0.0
Crawford,GA,12385.0,0.7,73.5,23.3,0.1,1.1,0.0
Crawford,IA,17131.0,27.4,67.5,1.2,0.6,1.9,0.1
Crawford,IL,19214.0,2.9,91.0,4.1,0.1,0.4,0.0
Crawford,IN,10598.0,1.5,96.4,0.2,0.6,0.0,0.0
Crawford,KS,39099.0,5.3,87.4,2.4,0.5,1.8,0.0
Crawford,MI,13821.0,1.8,95.0,0.7,0.5,0.6,0.1
Crawford,MO,24387.0,1.9,95.5,0.3,0.0,0.1,0.0
Crawford,OH,42231.0,1.5,95.7,0.9,0.1,0.4,0.0
Crawford,PA,86847.0,1.2,95.1,1.9,0.1,0.4,0.0
Crawford,WI,16313.0,1.3,94.9,1.7,0.4,0.5,0.0
Creek,OK,70899.0,3.9,76.8,2.2,11.7,0.6,0.0
Crenshaw,AL,13866.0,1.8,71.2,23.1,0.8,1.4,0.0
Crisp,GA,23005.0,3.2,50.6,43.2,0.0,1.2,0.2
Crittenden,AR,49278.0,2.4,43.2,48.9,0.3,0.7,0.1
Crittenden,KY,9154.0,1.0,96.4,1.3,0.0,0.0,0.0
Crockett,TN,14554.0,10.1,74.7,13.2,0.2,0.2,0.0
Crockett,TX,3836.0,66.1,33.0,0.9,0.0,0.0,0.0
Crook,OR,21717.0,7.6,88.4,0.2,0.9,0.3,0.4
Crook,WY,7347.0,2.3,94.5,0.2,1.4,0.3,0.0
Crosby,TX,5895.0,55.4,40.0,3.7,0.0,0.0,0.0
Cross,AR,17164.0,1.9,73.0,22.7,0.0,0.1,0.0
Crow Wing,MN,63505.0,1.4,95.1,0.6,1.0,0.4,0.0
Crowley,CO,5514.0,30.7,62.4,4.3,1.1,0.4,0.0
Culberson,TX,2257.0,80.7,17.4,0.4,0.0,0.3,0.0
Cullman,AL,81703.0,4.2,92.3,1.1,0.4,0.6,0.0
Culpeper,VA,49795.0,9.7,71.1,13.6,0.3,1.4,0.0
Cumberland,IL,10899.0,1.1,96.7,0.1,0.2,0.3,0.1
Cumberland,KY,6744.0,0.4,93.0,3.0,0.0,0.3,0.0
Cumberland,ME,289173.0,2.0,90.7,2.8,0.2,2.1,0.0
Cumberland,NC,332766.0,11.2,44.6,35.5,1.2,2.4,0.2
Cumberland,NJ,154952.0,29.7,47.4,17.7,0.5,1.3,0.0
Cumberland,PA,245801.0,3.5,86.9,3.5,0.1,4.0,0.0
Cumberland,TN,58178.0,2.8,94.7,0.7,0.5,0.6,0.0
Cumberland,VA,9797.0,0.1,63.1,32.5,0.9,0.0,0.0
Cuming,NE,9039.0,9.9,88.5,0.1,0.4,0.1,0.2
Currituck,NC,25247.0,3.6,87.5,5.3,0.4,0.4,0.0
Curry,NM,50283.0,41.0,49.1,5.5,0.9,1.4,0.1
Curry,OR,22377.0,6.8,86.8,0.3,2.0,0.5,0.0
Custer,CO,4505.0,4.6,89.7,2.5,1.0,0.0,0.1
Custer,ID,4141.0,4.0,92.2,0.0,1.1,0.0,0.0
Custer,MT,11895.0,3.2,92.4,0.5,1.3,0.4,0.0
Custer,NE,10836.0,2.9,95.0,0.8,0.0,0.8,0.0
Custer,OK,29169.0,17.5,69.3,3.0,1.7,1.2,0.1
Custer,SD,8519.0,3.0,90.6,0.2,3.6,0.4,0.0
Cuyahoga,OH,1257401.0,5.6,59.7,29.3,0.1,2.8,0.0
Dade,GA,16282.0,2.2,93.8,0.5,0.7,1.1,0.7
Dade,MO,7581.0,2.0,94.0,0.4,0.7,0.1,0.1
Daggett,UT,702.0,3.3,94.9,0.1,0.9,0.0,0.0
Dakota,MN,414655.0,6.8,79.7,5.6,0.2,4.7,0.0
Dakota,NE,20529.0,38.4,49.8,4.3,2.3,3.0,0.0
Dale,AL,49393.0,6.1,69.5,19.2,0.5,0.9,0.0
Dallam,TX,7207.0,43.8,51.2,1.7,1.2,0.9,0.0
Dallas,AL,40755.0,1.0,27.7,70.2,0.0,0.4,0.0
Dallas,AR,7585.0,3.1,53.2,40.0,0.4,1.6,0.2
Dallas,IA,80864.0,6.1,86.2,1.3,0.1,4.2,0.1
Dallas,MO,16441.0,1.9,94.9,0.0,0.7,0.2,0.0
Dallas,TX,2552213.0,39.6,30.2,22.1,0.2,6.0,0.0
Dane,WI,522837.0,6.3,80.2,5.0,0.2,5.6,0.0
Daniels,MT,1788.0,2.8,96.6,0.0,0.6,0.0,0.0
Dare,NC,35412.0,7.1,87.6,1.8,0.3,0.6,0.0
Darke,OH,51919.0,1.5,96.4,0.8,0.2,0.3,0.0
Darlington,SC,67572.0,1.9,55.0,40.7,0.3,0.4,0.0
Dauphin,PA,273329.0,8.5,67.1,17.7,0.1,3.9,0.0
Davidson,NC,164118.0,6.9,80.8,9.1,0.3,1.5,0.0
Davidson,TN,678322.0,10.1,56.4,27.3,0.3,3.5,0.1
Davie,NC,41766.0,6.5,84.9,6.1,0.1,0.7,0.0
Daviess,IN,32777.0,4.8,92.3,1.6,0.0,0.2,0.0
Daviess,KY,99258.0,2.9,88.9,4.4,0.2,1.3,0.0
Daviess,MO,8300.0,1.5,96.2,0.8,0.7,0.2,0.0
Davis,IA,8834.0,1.3,97.0,0.1,0.0,0.3,0.0
Davis,UT,334977.0,9.2,84.5,1.2,0.3,1.8,0.6
Davison,SD,19753.0,2.5,91.7,0.6,3.0,0.1,0.0
Dawes,NE,8972.0,4.8,85.3,0.9,2.8,0.9,2.2
Dawson,GA,23397.0,4.2,92.8,1.2,0.1,0.3,0.0
Dawson,MT,9324.0,3.0,92.6,0.5,2.1,0.4,0.0
Dawson,NE,23925.0,33.1,60.0,5.7,0.4,0.0,0.1
Dawson,TX,13095.0,56.4,36.3,5.7,0.4,0.9,0.0
Day,SD,5524.0,2.0,86.3,0.0,10.0,0.1,0.0
De Baca,NM,2016.0,46.0,52.2,1.5,0.0,0.0,0.0
De Soto,LA,27164.0,2.8,58.2,36.7,1.1,0.2,0.1
De Witt,IL,16176.0,2.6,89.1,0.4,0.2,0.1,0.2
DeKalb,AL,71194.0,14.3,80.8,1.4,1.2,0.3,0.1
DeKalb,GA,736066.0,8.7,29.1,53.3,0.2,6.0,0.0
DeKalb,IL,104473.0,10.8,77.6,7.1,0.0,2.4,0.0
DeKalb,IN,42524.0,2.8,95.1,0.2,0.1,0.3,0.0
DeKalb,MO,12564.0,2.2,84.2,9.8,0.7,0.2,0.1
DeKalb,TN,19380.0,7.6,88.9,1.3,0.0,0.6,0.1
DeSoto,FL,35675.0,30.5,55.5,12.8,0.2,0.2,0.1
DeSoto,MS,173267.0,4.8,66.6,25.3,0.1,1.2,0.0
DeWitt,TX,20474.0,34.5,55.6,9.0,0.0,0.0,0.0
Deaf Smith,TX,18947.0,71.6,25.9,0.8,0.3,0.5,0.1
Dearborn,IN,49564.0,1.2,96.3,0.8,0.2,0.4,0.0
Decatur,GA,27023.0,5.8,50.9,42.1,0.1,0.4,0.0
Decatur,IA,8105.0,2.7,93.2,1.7,0.3,0.6,0.2
Decatur,IN,26480.0,1.9,94.9,0.7,0.1,1.6,0.0
Decatur,KS,2891.0,2.6,94.7,0.2,0.9,0.5,0.0
Decatur,TN,11681.0,3.2,91.7,2.9,0.0,0.3,0.0
Deer Lodge,MT,9131.0,3.3,90.5,0.4,1.3,0.5,0.0
Defiance,OH,38311.0,9.6,86.9,1.7,0.4,0.3,0.0
Del Norte,CA,27442.0,19.2,62.8,1.8,7.2,2.7,0.1
Delaware,IA,17326.0,1.4,97.0,0.3,0.1,0.3,0.0
Delaware,IN,115938.0,2.3,87.1,7.1,0.1,1.3,0.0
Delaware,NY,45950.0,3.7,92.5,1.7,0.1,0.7,0.0
Delaware,OH,193024.0,2.4,86.4,3.4,0.1,5.5,0.0
Delaware,OK,41878.0,3.6,64.2,0.2,20.9,1.1,0.1
Delaware,PA,563384.0,3.6,68.0,20.7,0.1,5.4,0.0
Delta,CO,30217.0,15.0,81.6,0.6,0.9,0.8,0.0
Delta,MI,36395.0,1.2,93.2,0.3,1.8,0.4,0.0
Delta,TX,5172.0,6.9,81.5,7.9,0.2,0.7,0.0
Dent,MO,15566.0,1.6,94.8,0.4,0.9,0.4,0.0
Denton,TX,781321.0,19.1,60.9,9.1,0.3,7.8,0.1
Denver,CO,678467.0,30.5,53.6,9.2,0.5,3.5,0.1
Des Moines,IA,39876.0,2.9,88.0,6.0,0.2,0.6,0.0
