county,state,TotalPop,Hispanic,White,Black,Native,Asian,Pacific
Ashland,WI,15779.0,2.6,82.7,0.4,10.6,0.4,0.0
Ashley,AR,20771.0,5.2,68.0,25.6,0.2,0.0,0.0
Ashtabula,OH,98622.0,4.0,89.9,3.4,0.2,0.5,0.0
Asotin,WA,22259.0,3.6,91.2,0.4,0.9,0.9,0.1
Assumption,LA,22881.0,2.8,65.8,29.7,0.6,0.3,0.0
Atascosa,TX,48139.0,63.5,34.2,0.7,0.1,0.4,0.0
Atchison,KS,16466.0,2.9,88.4,3.1,0.4,0.3,0.1
Atchison,MO,5335.0,1.2,96.6,0.4,0.4,0.6,0.0
Athens,OH,65563.0,1.8,89.7,2.5,0.2,2.8,0.1
Atkinson,GA,8313.0,24.6,56.6,17.8,0.7,0.0,0.0
Atlantic,NJ,272926.0,18.5,56.4,14.3,0.2,8.4,0.0
Atoka,OK,13899.0,3.4,71.8,3.7,11.4,0.7,0.1
Attala,MS,18731.0,2.0,54.0,42.2,0.1,0.4,0.0
Audrain,MO,25763.0,2.9,87.1,6.1,0.2,0.2,0.0
Audubon,IA,5711.0,0.4,97.1,0.4,0.0,0.5,0.0
Auglaize,OH,45778.0,1.6,96.0,0.4,0.2,0.5,0.1
Augusta,VA,74390.0,2.5,91.4,4.0,0.2,0.6,0.1
Aurora,SD,2739.0,6.7,88.8,1.6,2.3,0.0,0.0
Austin,TX,29292.0,25.9,63.3,8.9,0.0,0.2,0.0
Autauga,AL,55036.0,2.7,75.4,18.9,0.3,0.9,0.0
Avery,NC,17535.0,5.1,89.0,4.2,0.5,0.6,0.0
Avoyelles,LA,41095.0,1.8,65.3,30.1,1.2,0.1,0.1
Baca,CO,3581.0,10.5,85.7,1.5,1.1,0.0,0.0
Bacon,GA,11279.0,8.5,73.6,14.6,0.0,0.9,0.2
Bailey,TX,7098.0,62.7,34.6,1.5,0.1,0.9,0.2
Baker,FL,27537.0,2.4,81.9,13.8,0.4,0.7,0.0
Baker,GA,3251.0,5.4,52.1,41.3,0.2,0.6,0.5
Baker,OR,15980.0,3.9,91.1,0.9,1.0,0.8,0.4
Baldwin,AL,203360.0,4.4,83.1,9.5,0.8,0.7,0.0
Baldwin,GA,45527.0,2.2,52.9,41.4,0.3,1.5,0.2
Ballard,KY,8152.0,1.2,93.0,3.9,0.2,0.4,0.0
Baltimore,MD,828637.0,5.1,58.7,27.5,0.2,5.9,0.0
Bamberg,SC,14842.0,1.9,35.6,61.5,0.1,0.4,0.0
Bandera,TX,21316.0,18.0,78.8,1.0,0.2,0.2,0.0
Banks,GA,18363.0,6.4,88.4,2.5,0.2,1.2,0.0
Banner,NE,728.0,7.8,89.4,0.5,0.0,0.0,0.0
Bannock,ID,84113.0,8.3,84.5,0.6,2.7,1.2,0.2
Baraga,MI,8580.0,1.5,73.1,15.8,4.7,0.5,0.0
Barber,KS,4905.0,3.2,92.4,0.7,1.5,0.7,0.0
Barbour,AL,26201.0,4.2,45.7,47.8,0.2,0.6,0.0
Barbour,WV,16790.0,0.9,95.7,0.9,0.4,0.7,0.0
Barnes,ND,10971.0,1.9,92.9,0.9,2.0,0.5,0.0
Barnstable,MA,213900.0,2.7,90.2,2.7,0.4,1.5,0.1
Barnwell,SC,21788.0,2.3,51.2,45.1,0.1,0.4,0.0
Barren,KY,43418.0,3.0,90.7,3.9,0.2,0.5,0.0
Barron,WI,45358.0,2.4,93.8,1.2,0.8,0.7,0.0
Barrow,GA,75099.0,10.0,73.0,11.1,0.1,3.6,0.0
Barry,MI,59607.0,2.7,94.6,0.4,0.2,0.5,0.0
Barry,MO,35398.0,9.0,86.5,0.3,0.6,1.5,0.0
Bartholomew,IN,81024.0,6.5,83.2,1.7,0.2,6.3,0.1
Barton,KS,27067.0,14.5,82.0,1.1,0.3,0.1,0.2
Barton,MO,11942.0,2.5,92.7,0.2,1.9,0.6,0.0
Bartow,GA,102623.0,8.2,78.2,10.5,0.2,0.9,0.0
Bastrop,TX,80306.0,36.0,53.7,7.7,0.4,0.9,0.0
Bates,MO,16405.0,2.1,94.5,1.2,0.4,0.2,0.1
Bath,KY,12189.0,1.5,95.4,1.0,0.1,0.3,0.0
Bath,VA,4458.0,5.7,85.3,2.7,0.0,0.3,0.0
Baxter,AR,41093.0,2.1,95.1,0.2,0.5,0.4,0.0
Bay,FL,180117.0,6.0,77.3,10.7,0.7,2.3,0.0
Bay,MI,105350.0,5.2,90.4,1.5,0.2,0.6,0.0
Bayfield,WI,15004.0,1.7,85.0,0.6,10.0,0.5,0.0
Baylor,TX,3602.0,10.1,83.8,3.2,0.0,0.0,0.0
Beadle,SD,18163.0,9.1,79.5,0.4,1.4,9.3,0.0
Bear Lake,ID,5942.0,4.1,93.7,0.8,0.2,0.7,0.0
Beaufort,NC,47316.0,7.6,65.8,25.6,0.0,0.1,0.0
Beaufort,SC,179316.0,11.3,67.4,18.1,0.2,1.2,0.1
Beauregard,LA,36598.0,3.7,80.0,12.7,0.6,0.4,0.0
Beaver,OK,5445.0,22.1,76.4,0.1,0.6,0.0,0.0
Beaver,PA,168161.0,1.5,89.7,5.9,0.0,0.5,0.0
Beaver,UT,6414.0,10.9,88.7,0.0,0.1,0.2,0.0
Beaverhead,MT,9360.0,4.2,91.3,0.1,2.0,0.6,0.0
Becker,MN,33552.0,1.9,86.6,0.5,7.4,0.6,0.0
Beckham,OK,22971.0,14.2,75.7,3.3,1.4,0.9,0.1
Bedford,PA,48891.0,1.1,96.9,0.4,0.1,0.2,0.0
Bedford,TN,46854.0,11.8,77.8,6.6,0.1,0.4,0.1
Bedford,VA,77319.0,2.0,88.2,7.0,0.1,1.3,0.0
Bee,TX,32729.0,58.2,32.2,8.2,0.5,0.5,0.0
Bell,KY,27469.0,0.3,94.5,3.3,0.1,0.2,0.0
Bell,TX,336506.0,24.0,47.2,21.0,0.3,2.8,0.7
Belmont,OH,68889.0,0.9,93.0,4.1,0.2,0.4,0.0
Beltrami,MN,45847.0,2.2,72.5,0.9,20.4,0.8,0.1
Ben Hill,GA,17272.0,6.0,56.5,36.2,0.0,0.2,0.0
Benewah,ID,9050.0,3.4,84.7,0.2,8.1,1.0,0.2
Bennett,SD,3440.0,7.3,31.0,0.2,47.2,0.2,0.0
Bennington,VT,36054.0,1.8,94.7,0.8,0.1,0.4,0.0
Benson,ND,6875.0,0.9,41.3,0.0,55.7,0.1,0.0
Bent,CO,5806.0,32.0,60.8,6.1,0.5,0.4,0.0
Benton,AR,251823.0,16.3,74.2,1.6,1.4,3.7,0.5
Benton,IA,25646.0,1.4,96.6,0.7,0.1,0.3,0.0
Benton,IN,8685.0,5.1,92.8,0.9,0.0,0.2,0.0
Benton,MN,39360.0,2.2,91.5,2.8,0.3,1.1,0.0
Benton,MO,18918.0,1.9,95.3,0.4,0.4,0.1,0.0
Benton,MS,8306.0,2.5,60.2,36.6,0.0,0.0,0.0
Benton,OR,88249.0,7.1,81.3,1.0,0.5,6.6,0.3
Benton,TN,16154.0,2.2,93.2,3.4,0.3,0.0,0.0
Benton,WA,190529.0,20.8,71.6,1.4,0.6,2.5,0.1
Benzie,MI,17462.0,2.4,93.9,0.3,1.4,0.4,0.0
